mode,model,sampler,image_size,n_pairs,n_real_fid,fid,ssim_mean,ssim_std,psnr_mean,psnr_std,lpips_mean,lpips_std
pipeline,pipeline,DDIM,32,1024,1251,36.881040,0.507531,0.086137,17.785349,1.521897,0.037520,0.011072
pipeline,pipeline,DDPM,32,1024,1251,28.824881,0.520200,0.100564,18.039172,1.776361,0.034469,0.011631
pipeline,pipeline,DPMSolverPP,32,1024,1251,28.454101,0.512151,0.087496,17.843475,1.559942,0.036616,0.011227
pipeline,pipeline,UniPC,32,1024,1251,25.464820,0.511082,0.088949,17.849712,1.588612,0.036465,0.011237
unconditional,baseline,DDIM,32,1024,1251,44.753392,0.501478,0.089674,17.805226,1.612041,0.037262,0.011113
unconditional,baseline,DDIM,48,1024,1196,65.420861,0.465358,0.062433,15.691337,1.060929,0.146555,0.024241
unconditional,baseline,DDPM,32,1024,1251,24.774446,0.503870,0.108789,17.980238,1.971371,0.035289,0.012599
unconditional,baseline,DDPM,48,1024,1196,57.105475,0.524735,0.075515,16.408604,1.284883,0.116835,0.027080
unconditional,baseline,DPMSolverPP,32,1024,1251,40.954553,0.503494,0.091206,17.847239,1.663862,0.036875,0.011109
unconditional,baseline,DPMSolverPP,48,1024,1196,63.437879,0.484275,0.064827,15.937667,1.096573,0.138175,0.024448
unconditional,baseline,UniPC,32,1024,1251,43.927142,0.503381,0.092067,17.853302,1.673926,0.036777,0.011148
unconditional,baseline,UniPC,48,1024,1196,65.966731,0.482821,0.065346,16.022294,1.105723,0.141860,0.023735
unconditional,data_augmentation,DDIM,32,1024,1251,40.193581,0.455698,0.110687,16.433063,1.857495,0.038180,0.011328
unconditional,data_augmentation,DDPM,32,1024,1251,37.912597,0.462669,0.121464,16.405693,2.043272,0.036476,0.011896
unconditional,data_augmentation,DPMSolverPP,32,1024,1251,29.600054,0.465317,0.113074,16.568285,1.931925,0.036895,0.011882
unconditional,data_augmentation,UniPC,32,1024,1251,27.896751,0.469267,0.112844,16.652902,1.931313,0.036531,0.011905
unconditional,linear_schedule,DDIM,32,1024,1251,130.620224,0.143507,0.036844,10.906526,0.646195,0.144104,0.024129
unconditional,linear_schedule,DDPM,32,1024,1251,73.950742,0.238215,0.060073,12.853940,1.072855,0.089436,0.020883
unconditional,linear_schedule,DPMSolverPP,32,1024,1251,129.234110,0.146693,0.037824,10.980224,0.655815,0.140185,0.023831
unconditional,linear_schedule,UniPC,32,1024,1251,133.759297,0.145487,0.037621,10.974719,0.656709,0.140086,0.023335
unconditional,no_attention,DDIM,32,1024,1251,48.565407,0.510375,0.084252,17.864145,1.508849,0.037618,0.010861
unconditional,no_attention,DDPM,32,1024,1251,30.772485,0.515553,0.098795,18.082050,1.805401,0.034905,0.011948
unconditional,no_attention,DPMSolverPP,32,1024,1251,45.349833,0.511078,0.086151,17.890895,1.561193,0.037295,0.011099
unconditional,no_attention,UniPC,32,1024,1251,50.701159,0.509347,0.087318,17.889016,1.588374,0.037665,0.011097
unconditional,noise_prediction,DDIM,32,1024,1251,260.403464,-0.059480,0.088017,7.393665,1.595549,0.362641,0.060442
unconditional,noise_prediction,DDPM,32,1024,1251,217.156275,-0.028903,0.145779,3.818942,4.246992,0.506566,0.229432
unconditional,noise_prediction,DPMSolverPP,32,1024,1251,489.916304,-0.022730,0.052344,3.864015,1.399704,0.519696,0.082086
unconditional,noise_prediction,UniPC,32,1024,1251,497.776647,-0.021930,0.050195,3.867059,1.305500,0.521512,0.076658
