sample_id,ssim,psnr,lpips
1,0.615470,19.747103,0.031883
2,0.541794,17.728595,0.040499
3,0.591675,18.834405,0.021492
4,0.527118,18.264940,0.032529
5,0.487529,17.023885,0.036872
6,0.556730,18.659436,0.025543
7,0.403298,15.956833,0.046749
8,0.558297,18.934582,0.030827
9,0.335353,14.223150,0.058888
10,0.580905,19.234115,0.032773
11,0.613227,20.327042,0.036929
12,0.495437,17.066407,0.053397
13,0.439501,17.157841,0.047242
14,0.579184,18.586164,0.019895
15,0.486158,17.305838,0.044815
16,0.597655,18.970507,0.030927
17,0.539563,18.501701,0.033354
18,0.540515,18.700872,0.023928
19,0.503438,16.862613,0.039052
20,0.646600,21.018357,0.022046
21,0.485757,17.554302,0.035536
22,0.456758,18.218184,0.024514
23,0.441595,17.144694,0.029102
24,0.449720,16.312176,0.057489
25,0.630694,19.887729,0.027509
26,0.364930,15.850887,0.042232
27,0.574894,19.240885,0.047549
28,0.366989,14.524067,0.055512
29,0.666197,21.197892,0.020205
30,0.398090,15.895616,0.031855
31,0.451300,17.009745,0.048174
32,0.374448,16.881081,0.046468
33,0.494123,18.036898,0.031028
34,0.473504,16.809453,0.042513
35,0.517659,17.285207,0.032108
36,0.529265,17.593895,0.027664
37,0.522043,18.504924,0.039836
38,0.469261,16.611835,0.044124
39,0.456833,16.509275,0.057465
40,0.381834,16.354016,0.054231
41,0.522869,18.234843,0.022087
42,0.657061,20.473959,0.036995
43,0.456666,17.503167,0.032933
44,0.481807,18.231210,0.035591
45,0.595824,19.831872,0.035207
46,0.530597,18.358522,0.044884
47,0.636305,19.971701,0.021463
48,0.517173,18.284076,0.060639
49,0.524559,16.796355,0.046563
50,0.546002,17.988822,0.032374
51,0.587453,19.294161,0.046301
52,0.540417,18.948049,0.035353
53,0.513487,17.504696,0.037975
54,0.492218,17.396990,0.031604
55,0.485050,18.084979,0.041272
56,0.645166,19.903791,0.036621
57,0.662389,21.115604,0.021979
58,0.532559,19.005328,0.038365
59,0.309378,14.210941,0.065062
60,0.624152,20.213986,0.029449
61,0.584762,19.733787,0.026976
62,0.586601,18.602421,0.025473
63,0.533518,19.246437,0.034924
64,0.481734,16.930960,0.036773
65,0.469941,16.669514,0.054733
66,0.517911,17.341298,0.042205
67,0.534807,17.609735,0.037890
68,0.431240,16.764380,0.034503
69,0.333312,14.919857,0.056181
70,0.506445,17.391103,0.038419
71,0.479311,17.653636,0.026079
72,0.579814,19.334138,0.033837
73,0.538499,17.883494,0.035090
74,0.465432,17.205858,0.034311
75,0.653058,20.895605,0.026195
76,0.470499,16.505272,0.035417
77,0.442684,16.989219,0.040093
78,0.553860,18.057076,0.043870
79,0.595080,19.124694,0.043093
80,0.474967,17.123028,0.042193
81,0.417049,15.506671,0.058698
82,0.518329,18.675272,0.023625
83,0.554617,18.022128,0.025321
84,0.291017,14.442818,0.056348
85,0.503045,17.947694,0.023779
86,0.433656,17.148171,0.028583
87,0.655000,19.418594,0.024937
88,0.458137,16.539113,0.055528
89,0.600249,18.667573,0.031539
90,0.461785,17.359330,0.028085
91,0.465765,16.672437,0.039945
92,0.561205,18.639407,0.025374
93,0.503631,17.578901,0.040985
94,0.509193,17.799588,0.037213
95,0.686319,21.013454,0.030099
96,0.566444,19.871893,0.031961
97,0.616688,20.044208,0.021849
98,0.496908,18.234891,0.030882
99,0.463252,17.304184,0.028838
100,0.705972,21.558411,0.019268
101,0.536870,18.297452,0.034303
102,0.556699,18.729308,0.028030
103,0.476784,17.289997,0.038704
104,0.555755,19.597678,0.025193
105,0.429672,16.919706,0.038925
106,0.558340,19.832508,0.026567
107,0.516669,17.998152,0.032889
108,0.613267,19.810799,0.035071
109,0.350930,15.864485,0.045956
110,0.436162,16.733540,0.035609
111,0.570628,19.551494,0.033844
112,0.607419,20.245481,0.029641
113,0.558390,19.208154,0.030291
114,0.535191,18.817193,0.026516
115,0.417668,16.281908,0.035501
116,0.628058,18.808846,0.033004
117,0.509669,18.177306,0.022257
118,0.476027,16.887043,0.041301
119,0.420197,16.222690,0.041118
120,0.504220,17.713599,0.046691
121,0.428842,16.825302,0.042278
122,0.436914,16.268881,0.038238
123,0.511719,17.476917,0.053577
124,0.575181,19.063407,0.024649
125,0.587166,18.699164,0.029402
126,0.376417,15.425498,0.037759
127,0.453638,16.316007,0.049771
128,0.610984,19.367080,0.024386
129,0.450051,16.611808,0.039481
130,0.579528,19.047653,0.032136
131,0.575450,18.622482,0.024070
132,0.427971,16.285796,0.039033
133,0.535309,18.061835,0.025114
134,0.574127,18.624635,0.029014
135,0.411230,17.249926,0.030263
136,0.517301,17.498156,0.034445
