sample_id,ssim,psnr,lpips
1,0.562660,19.035469,0.037105
2,0.542985,17.933893,0.040574
3,0.633937,19.403778,0.015755
4,0.535323,18.653358,0.023099
5,0.359422,16.479869,0.041394
6,0.557843,18.847126,0.024340
7,0.384749,16.070771,0.044741
8,0.571531,19.860676,0.031507
9,0.296009,13.576883,0.068074
10,0.609933,19.962116,0.017098
11,0.685918,21.399885,0.023199
12,0.539864,17.610161,0.028784
13,0.461695,17.361853,0.037827
14,0.617669,19.485968,0.016202
15,0.445097,16.905268,0.029047
16,0.701809,20.436636,0.026163
17,0.528120,18.669736,0.029330
18,0.619644,19.887822,0.029682
19,0.500233,17.286797,0.035533
20,0.705620,21.970067,0.017094
21,0.514369,17.871855,0.027245
22,0.740084,21.810945,0.016272
23,0.473032,17.356631,0.027104
24,0.485036,16.669667,0.046114
25,0.632607,20.019353,0.026552
26,0.372361,15.647651,0.033655
27,0.589482,19.584891,0.032769
28,0.420925,15.346506,0.039829
29,0.653411,20.970285,0.018383
30,0.388793,15.764399,0.031846
31,0.451647,17.104518,0.033332
32,0.351512,16.729099,0.046619
33,0.463775,17.962551,0.018891
34,0.367276,15.940541,0.031664
35,0.555379,17.808378,0.026330
36,0.541577,18.166987,0.025781
37,0.537322,18.657623,0.037115
38,0.380738,15.494376,0.054833
39,0.398526,15.943460,0.057616
40,0.302859,15.547231,0.048473
41,0.598949,18.577802,0.024800
42,0.715104,21.546704,0.028761
43,0.467820,17.625800,0.036258
44,0.510418,18.996416,0.023653
45,0.641742,20.091927,0.038590
46,0.543199,18.127116,0.038194
47,0.643583,20.511190,0.026566
48,0.508698,17.918489,0.065557
49,0.503045,17.527795,0.034455
50,0.513347,17.835762,0.023908
51,0.558058,18.954045,0.039974
52,0.663085,20.418106,0.018911
53,0.552279,18.516778,0.033545
54,0.542076,18.233729,0.023451
55,0.510827,18.255751,0.032805
56,0.695444,20.840478,0.020716
57,0.677656,21.485963,0.021144
58,0.520801,18.866770,0.044821
59,0.290589,14.066008,0.065579
60,0.634913,20.320124,0.024320
61,0.617075,19.673587,0.027398
62,0.540606,18.530685,0.030333
63,0.529728,19.196158,0.032119
64,0.398513,15.807868,0.035021
65,0.535594,17.537869,0.028112
66,0.504726,17.501978,0.049676
67,0.646982,19.050300,0.023098
68,0.455286,17.006021,0.037536
69,0.301028,14.575013,0.061228
70,0.544837,18.137701,0.040492
71,0.530742,18.370490,0.020441
72,0.641187,20.842666,0.025190
73,0.534892,18.305680,0.035494
