sample_id,ssim,psnr,lpips
1,0.621086,19.821971,0.030287
2,0.549609,17.770226,0.039126
3,0.600235,18.926230,0.020000
4,0.532053,18.349288,0.030208
5,0.487091,16.908437,0.036637
6,0.563589,18.830927,0.024313
7,0.404403,15.898637,0.047953
8,0.569661,19.100366,0.029465
9,0.336213,14.202492,0.059499
10,0.581401,19.186041,0.030731
11,0.622072,20.432809,0.035955
12,0.501834,17.129200,0.051743
13,0.436804,17.047140,0.047057
14,0.589969,18.800554,0.018786
15,0.490467,17.385832,0.043391
16,0.618652,19.359727,0.027603
17,0.539276,18.437886,0.034317
18,0.542866,18.723648,0.021942
19,0.504424,16.824213,0.040542
20,0.653912,21.217614,0.022952
21,0.490897,17.666958,0.037130
22,0.465898,18.367085,0.023605
23,0.445909,17.141440,0.029210
24,0.453669,16.327579,0.054863
25,0.639844,20.038604,0.027077
26,0.365076,15.781490,0.042501
27,0.580265,19.333103,0.045891
28,0.370845,14.555663,0.054997
29,0.668125,21.294140,0.018893
30,0.401487,15.935449,0.030364
31,0.453056,16.997223,0.046862
32,0.374501,16.803275,0.045565
33,0.496679,18.021796,0.030918
34,0.474709,16.738188,0.042947
35,0.522946,17.363287,0.030889
36,0.536700,17.698820,0.025902
37,0.522217,18.470067,0.039888
38,0.471314,16.603880,0.044085
39,0.461656,16.544354,0.056747
40,0.381202,16.292939,0.055754
41,0.525374,18.305821,0.021451
42,0.665979,20.706458,0.036886
43,0.457371,17.432878,0.032598
44,0.485466,18.245893,0.034365
45,0.600211,19.902974,0.034658
46,0.536241,18.439613,0.041859
47,0.638939,19.967505,0.021072
48,0.517537,18.256820,0.061334
49,0.531914,16.860993,0.046800
50,0.549528,18.006094,0.031471
51,0.592726,19.385135,0.045656
52,0.547263,19.066696,0.033015
53,0.520470,17.581988,0.036078
54,0.496349,17.446794,0.030598
55,0.488153,18.150613,0.038480
56,0.654550,20.081687,0.035683
57,0.667730,21.265810,0.021209
58,0.539503,19.092663,0.037565
59,0.310865,14.096748,0.065118
60,0.629173,20.342262,0.029704
61,0.587978,19.816425,0.025623
62,0.596665,18.805748,0.024150
63,0.538195,19.264281,0.033715
64,0.487609,17.021080,0.035012
65,0.477710,16.777857,0.051395
66,0.526798,17.464419,0.041070
67,0.544239,17.787155,0.034838
68,0.434500,16.788926,0.034284
69,0.335029,14.851108,0.056256
70,0.515205,17.516680,0.036190
71,0.483807,17.705692,0.025946
72,0.586743,19.438422,0.032379
73,0.543241,17.923385,0.034773
74,0.468288,17.229212,0.034116
75,0.658013,21.073516,0.025816
76,0.478439,16.595089,0.035145
77,0.446885,17.050580,0.039191
78,0.560306,18.155794,0.042644
79,0.603706,19.285684,0.041907
80,0.476684,17.079017,0.041913
81,0.422916,15.568326,0.057571
82,0.522875,18.726697,0.023402
83,0.560946,18.098188,0.024710
84,0.290945,14.371678,0.055911
85,0.508210,17.999426,0.022906
86,0.434639,17.125976,0.027173
87,0.662915,19.572394,0.025038
88,0.465967,16.606462,0.054545
89,0.609549,18.826301,0.032298
90,0.465413,17.431552,0.025972
91,0.472704,16.713221,0.037703
92,0.568539,18.796930,0.024088
93,0.511109,17.723791,0.038858
94,0.515602,17.924320,0.034556
95,0.691083,21.119020,0.029030
96,0.558675,19.662787,0.033380
97,0.623148,20.200107,0.021562
98,0.500614,18.331091,0.029568
99,0.465951,17.330940,0.028310
100,0.709075,21.627492,0.018825
101,0.543562,18.446056,0.032840
102,0.563575,18.880425,0.027096
103,0.480659,17.299988,0.039689
104,0.554434,19.586327,0.025086
105,0.430417,16.861226,0.039268
106,0.563326,19.896029,0.026296
107,0.522544,18.083931,0.031670
108,0.615081,19.950352,0.031471
109,0.352611,15.812749,0.045667
110,0.444512,16.795164,0.033230
111,0.580928,19.720195,0.031987
112,0.605620,20.220758,0.029860
113,0.564539,19.319132,0.029174
114,0.540321,18.909275,0.026020
115,0.424581,16.321633,0.034017
116,0.639167,18.979263,0.031475
117,0.514979,18.284738,0.021536
118,0.481697,16.963633,0.039725
119,0.423677,16.207296,0.041054
120,0.506248,17.718052,0.048259
121,0.432367,16.832835,0.041858
122,0.437006,16.196954,0.038606
123,0.520419,17.578188,0.050544
124,0.585715,19.253375,0.023697
125,0.589843,18.715096,0.028025
126,0.378222,15.431283,0.036444
127,0.456634,16.314571,0.049241
128,0.615725,19.454736,0.022721
129,0.455382,16.704443,0.038369
130,0.583403,19.055345,0.031370
131,0.580635,18.674072,0.023370
132,0.427476,16.207066,0.039062
133,0.541692,18.133968,0.023314
134,0.579541,18.693435,0.027614
135,0.414806,17.250693,0.031301
136,0.522084,17.496659,0.034544
137,0.528924,19.272202,0.026980
138,0.548907,18.259123,0.031196
139,0.610977,19.111367,0.022464
140,0.604562,19.646660,0.032767
141,0.475715,17.146227,0.027292
142,0.532888,17.412982,0.043052
143,0.559753,19.182446,0.037707
144,0.684800,21.023909,0.029701
145,0.498300,17.513774,0.057099
146,0.319530,14.641585,0.077296
147,0.444661,16.134466,0.055940
148,0.566926,19.401880,0.037140
149,0.545186,18.267875,0.046819
150,0.660601,19.802901,0.032225
151,0.533579,18.175142,0.035838
152,0.499717,17.562445,0.037643
153,0.567593,19.031933,0.036789
154,0.431305,16.287944,0.065999
