sample_id,ssim,psnr,lpips
1,0.620613,19.842421,0.029377
2,0.543825,17.756228,0.040033
3,0.598595,18.980499,0.019979
4,0.526074,18.263414,0.032064
5,0.484373,16.906881,0.036765
6,0.561103,18.836313,0.025741
7,0.401812,15.877631,0.046171
8,0.569453,19.167510,0.029031
9,0.332972,14.148490,0.058402
10,0.582127,19.247690,0.029776
11,0.615521,20.405580,0.035269
12,0.498677,17.129957,0.052227
13,0.439190,17.096014,0.047301
14,0.586869,18.785113,0.018020
15,0.486171,17.309019,0.043751
16,0.614388,19.328652,0.027700
17,0.542699,18.506506,0.033147
18,0.548601,18.806863,0.020457
19,0.502429,16.838365,0.040559
20,0.658603,21.266522,0.022859
21,0.487709,17.643126,0.036320
22,0.470955,18.483249,0.022394
23,0.440681,17.118555,0.028526
24,0.455073,16.378476,0.055605
25,0.635351,20.046931,0.025771
26,0.361231,15.753784,0.041634
27,0.585736,19.472891,0.043386
28,0.365786,14.480429,0.053846
29,0.673552,21.339247,0.017899
30,0.399453,15.909142,0.030375
31,0.448064,16.978432,0.046788
32,0.369998,16.775524,0.045867
33,0.489353,17.991381,0.031079
34,0.473064,16.750109,0.044063
35,0.520610,17.350240,0.030969
36,0.533824,17.670066,0.026737
37,0.519340,18.443893,0.039870
38,0.466387,16.562786,0.043943
39,0.461293,16.557022,0.058266
40,0.374971,16.265189,0.055882
41,0.520507,18.232454,0.021434
42,0.667276,20.713390,0.035895
43,0.452704,17.421716,0.032839
44,0.477484,18.119260,0.033152
45,0.598903,19.920267,0.034129
46,0.542050,18.533729,0.041182
47,0.642277,20.037505,0.021373
48,0.522562,18.375207,0.060530
49,0.529589,16.869781,0.046196
50,0.541610,17.904907,0.030874
51,0.589395,19.374707,0.046291
52,0.543439,19.018594,0.033068
53,0.515917,17.542455,0.033693
54,0.493993,17.377422,0.030770
55,0.495902,18.287097,0.037534
56,0.660942,20.166371,0.033597
57,0.670508,21.361443,0.020298
58,0.544638,19.178283,0.037206
59,0.307636,14.097499,0.065834
60,0.633652,20.456486,0.029086
61,0.585287,19.778341,0.025554
62,0.593057,18.792945,0.024043
63,0.531919,19.186040,0.033415
64,0.484453,17.000361,0.033943
65,0.476419,16.757609,0.052381
66,0.525872,17.467215,0.042052
67,0.543411,17.751658,0.035480
68,0.428900,16.726599,0.034294
69,0.330314,14.810086,0.056691
70,0.512092,17.483164,0.035841
71,0.480393,17.656751,0.025456
72,0.591211,19.527735,0.031190
73,0.538936,17.906465,0.034496
74,0.464932,17.162867,0.034614
75,0.663964,21.182841,0.025253
76,0.472876,16.537863,0.034960
77,0.443172,16.999877,0.037322
78,0.561127,18.171369,0.041217
79,0.608136,19.357862,0.039953
80,0.476908,17.113615,0.042802
81,0.421259,15.557784,0.057149
82,0.519429,18.714890,0.022971
83,0.553787,18.062311,0.024844
84,0.287455,14.345994,0.056998
85,0.500783,17.914553,0.022490
86,0.433253,17.102227,0.028162
87,0.658640,19.558573,0.024601
88,0.463450,16.588463,0.055401
89,0.607169,18.832575,0.031735
90,0.460407,17.357497,0.025969
91,0.470200,16.709701,0.038450
92,0.562851,18.718790,0.024631
93,0.508173,17.690733,0.039263
94,0.512270,17.885476,0.032536
95,0.691280,21.160443,0.029738
96,0.564260,19.776062,0.034276
97,0.629681,20.344451,0.020756
98,0.508716,18.472918,0.030678
99,0.454712,17.159621,0.027861
100,0.710830,21.720463,0.017324
101,0.539916,18.417972,0.032811
102,0.558815,18.811982,0.028528
103,0.475381,17.266049,0.038605
104,0.562709,19.728666,0.024123
105,0.423291,16.805188,0.039835
106,0.554234,19.823806,0.026421
107,0.515872,18.004510,0.032292
108,0.627935,20.162095,0.033179
109,0.348647,15.780529,0.046596
110,0.440658,16.720100,0.032272
111,0.583224,19.774279,0.031470
112,0.613644,20.351188,0.028780
113,0.570681,19.389318,0.028387
114,0.535171,18.831732,0.026028
115,0.421146,16.296690,0.033227
116,0.638220,19.002077,0.032447
117,0.510285,18.198417,0.021360
118,0.481186,16.956369,0.038872
119,0.417629,16.143337,0.042101
120,0.508439,17.782205,0.047926
121,0.428988,16.793994,0.041670
122,0.435169,16.185773,0.039321
123,0.516518,17.558006,0.049893
124,0.581174,19.276832,0.022738
125,0.594420,18.818049,0.029961
126,0.374342,15.381076,0.037808
127,0.458370,16.331075,0.049920
128,0.613479,19.430805,0.023099
129,0.457390,16.783705,0.038202
130,0.581637,19.057852,0.030373
131,0.580308,18.699972,0.023091
132,0.423976,16.206128,0.039398
133,0.535734,18.110136,0.022768
134,0.575280,18.691686,0.025842
135,0.409745,17.201376,0.031462
136,0.518874,17.467812,0.034268
137,0.536481,19.414757,0.027653
138,0.551559,18.303762,0.030025
139,0.607007,19.099772,0.021468
140,0.602285,19.651204,0.033369
141,0.471505,17.106989,0.026661
142,0.530639,17.388378,0.043069
143,0.564943,19.255428,0.036568
144,0.688236,21.099314,0.029775
145,0.497485,17.491252,0.056464
146,0.314926,14.600004,0.074768
147,0.440178,16.092221,0.055190
148,0.564305,19.395597,0.038339
149,0.543990,18.296229,0.046313
150,0.664111,19.868578,0.030769
151,0.527468,18.136235,0.037808
152,0.499998,17.580402,0.037306
153,0.567150,19.019117,0.037617
154,0.431638,16.266367,0.066460
155,0.538032,17.650706,0.033950
156,0.480089,16.984849,0.040649
157,0.530810,17.755118,0.045319
158,0.554409,18.608607,0.028030
159,0.422492,15.667716,0.046498
160,0.434295,16.104866,0.060162
161,0.549114,18.182353,0.023088
162,0.386309,15.938740,0.050027
163,0.517395,17.735412,0.038086
164,0.571955,18.445935,0.034049
165,0.562614,18.660490,0.025807
166,0.501954,17.968853,0.022524
167,0.477935,16.764037,0.049998
168,0.542199,18.080331,0.028524
169,0.514985,18.055009,0.042447
170,0.418600,16.315702,0.041502
171,0.395797,15.270399,0.043815
172,0.403273,16.922971,0.049185
173,0.477702,17.406018,0.035017
174,0.565564,18.545374,0.026204
175,0.404985,16.282743,0.037814
176,0.590437,18.872357,0.025624
177,0.338157,14.066219,0.046205
178,0.428472,16.346779,0.054747
179,0.536727,18.146616,0.035377
180,0.546209,18.180236,0.026680
181,0.378934,15.204874,0.052788
182,0.475943,18.260513,0.044387
183,0.664630,20.582709,0.023684
184,0.204241,13.278822,0.054612
185,0.419215,14.519247,0.064019
186,0.532701,17.885254,0.027658
187,0.615214,20.134073,0.021088
188,0.598209,19.767554,0.033129
189,0.552651,18.481188,0.051054
190,0.519185,17.639633,0.054815
191,0.335181,15.407429,0.051020
192,0.579797,19.663085,0.035475
193,0.523957,17.733621,0.024428
194,0.408940,16.083248,0.048629
195,0.513665,18.064532,0.025370
196,0.397268,16.719830,0.036647
197,0.547212,17.990282,0.035138
198,0.433151,16.220868,0.031761
199,0.561592,19.358365,0.028459
200,0.589106,19.190066,0.040258
201,0.570109,18.580274,0.025337
202,0.392221,16.416845,0.044126
203,0.507528,17.831687,0.061968
204,0.240260,13.185034,0.059567
205,0.563775,17.928052,0.037876
206,0.562687,19.126740,0.034291
207,0.487613,17.607309,0.045167
208,0.517010,18.075783,0.036329
209,0.461187,16.205954,0.045391
210,0.477950,16.531365,0.034518
211,0.461904,17.153725,0.034850
212,0.362918,15.266916,0.038803
213,0.474217,17.573530,0.053226
214,0.473243,17.303836,0.045885
215,0.283774,14.432714,0.055804
216,0.421634,16.673371,0.044819
217,0.411316,15.978144,0.047428
218,0.455577,17.431571,0.039279
219,0.386450,15.713305,0.039542
220,0.342712,16.591351,0.044071
221,0.461173,16.898927,0.045378
222,0.607689,19.094416,0.035968
223,0.556409,18.314631,0.031987
224,0.542706,17.858251,0.019444
225,0.561273,18.122376,0.030525
226,0.516290,18.405126,0.032251
227,0.520919,17.612222,0.041826
228,0.539222,18.076487,0.046434
229,0.402698,16.401439,0.057315
230,0.601440,19.859520,0.045266
231,0.487831,17.530548,0.033246
232,0.584452,19.274338,0.027288
233,0.487759,16.611682,0.030651
234,0.621308,19.074019,0.030549
235,0.541212,17.320524,0.026375
236,0.566750,19.473691,0.037059
237,0.361609,15.000204,0.041856
238,0.582354,18.655575,0.038638
239,0.545003,18.885217,0.030109
240,0.489094,17.264739,0.033209
241,0.455423,16.682601,0.044707
242,0.456068,16.739293,0.027992
243,0.480588,16.843127,0.043528
244,0.454474,16.371024,0.036952
245,0.664821,19.330231,0.031149
246,0.513194,17.167008,0.046885
247,0.515683,17.704708,0.036347
248,0.614638,21.027204,0.027885
249,0.520599,18.639282,0.031707
250,0.503626,17.083265,0.035507
251,0.523076,18.192123,0.027939
252,0.475100,16.999952,0.046034
253,0.140063,12.243106,0.069781
254,0.472088,17.041198,0.046827
255,0.421130,16.640801,0.042957
256,0.580557,18.925939,0.025050
257,0.625412,19.866536,0.026642
258,0.550897,19.451590,0.023753
259,0.399440,15.999723,0.047560
260,0.661041,20.539212,0.026316
261,0.592594,18.907361,0.018158
262,0.630100,19.881172,0.037670
263,0.428508,16.765327,0.059869
