sample_id,ssim,psnr,lpips
1,0.305711,13.554022,0.187658
2,0.552375,17.010646,0.114606
3,0.488854,15.987463,0.111876
4,0.501371,16.318231,0.145222
5,0.467646,15.097592,0.150807
6,0.395794,14.334579,0.153405
7,0.378655,14.963643,0.190210
8,0.444220,14.975486,0.150721
9,0.489732,16.327836,0.130696
10,0.482661,15.963198,0.122767
11,0.331716,13.414809,0.219459
12,0.529187,16.145347,0.114936
13,0.320458,13.022170,0.160764
14,0.568558,17.362742,0.113688
15,0.536875,16.459898,0.112376
16,0.501465,16.307875,0.139225
17,0.469934,16.323468,0.159904
18,0.312845,12.919857,0.217369
19,0.513441,16.655585,0.121363
20,0.565645,17.446029,0.123703
21,0.539325,16.724298,0.128140
22,0.563224,17.173529,0.125795
23,0.382259,13.866743,0.180688
24,0.497702,16.474720,0.129027
25,0.477954,15.534333,0.150915
26,0.480403,16.078411,0.113625
27,0.527566,16.758033,0.137253
28,0.464063,15.394686,0.169823
29,0.257243,11.242940,0.195147
30,0.401295,14.424252,0.153068
31,0.538023,16.855222,0.132352
32,0.353201,13.001395,0.211505
33,0.538958,17.037603,0.131718
34,0.530148,16.863448,0.120208
35,0.439698,14.865354,0.160356
36,0.259634,12.128980,0.188985
37,0.494655,16.234684,0.128841
38,0.462729,16.002615,0.150918
39,0.433655,14.928739,0.139658
40,0.465954,16.529583,0.176150
41,0.475742,16.056442,0.139640
42,0.452416,15.203492,0.172720
43,0.462980,15.383202,0.131272
44,0.493982,15.587448,0.122531
45,0.511705,16.221971,0.159733
46,0.462405,15.952715,0.127751
47,0.496395,15.947724,0.156502
48,0.534115,16.493824,0.155013
49,0.416817,15.234986,0.158985
50,0.410765,14.526910,0.154261
51,0.412246,15.258396,0.137159
52,0.478877,15.713342,0.138037
53,0.383663,13.907517,0.185132
54,0.385307,14.044405,0.170114
55,0.437963,15.287137,0.162591
56,0.537311,16.611304,0.133715
57,0.432697,14.832044,0.155341
58,0.491615,15.962435,0.159234
59,0.500879,16.264165,0.142395
60,0.444766,15.007358,0.155371
61,0.477149,16.037516,0.142346
62,0.483925,16.539028,0.149106
63,0.497678,16.277654,0.119890
64,0.516826,16.464480,0.119552
65,0.386988,14.152579,0.160442
66,0.408327,14.427027,0.128751
67,0.481556,15.366521,0.156718
68,0.380376,14.494685,0.154031
69,0.354648,13.621488,0.156155
70,0.287731,12.981004,0.169653
71,0.413854,14.790594,0.131936
72,0.384218,14.611620,0.164445
73,0.534562,17.217806,0.162790
74,0.558464,17.279674,0.118729
75,0.362835,13.634209,0.174751
76,0.432202,14.383704,0.190884
77,0.530530,17.010155,0.132675
78,0.469028,15.510397,0.123618
79,0.506210,16.499180,0.132588
80,0.482598,15.802870,0.181365
81,0.413471,15.216433,0.152481
82,0.524649,16.394728,0.111444
83,0.408235,14.532064,0.125941
84,0.490778,16.710188,0.133527
85,0.468254,16.065463,0.135430
86,0.497178,16.344302,0.150112
