sample_id,ssim,psnr,lpips
1,0.404167,14.721223,0.158197
2,0.640686,18.529632,0.082277
3,0.580516,17.594686,0.095720
4,0.539916,16.355590,0.116581
5,0.442402,14.337198,0.142725
6,0.482436,15.827938,0.120910
7,0.375523,14.282302,0.180745
8,0.494840,15.465954,0.116370
9,0.522486,16.417822,0.113103
10,0.621249,18.142005,0.090020
11,0.357867,13.758468,0.183248
12,0.528540,16.036143,0.107723
13,0.399534,13.828470,0.175227
14,0.586015,17.310504,0.097418
15,0.564290,16.806975,0.085214
16,0.602140,17.694586,0.080741
17,0.489377,16.234967,0.113509
18,0.309318,12.798529,0.201483
19,0.612701,17.793225,0.081462
20,0.614104,18.015728,0.078621
21,0.596662,17.356024,0.080854
22,0.592361,17.707794,0.105596
23,0.597763,17.612205,0.115441
24,0.588318,17.812850,0.100540
25,0.482747,15.459612,0.144272
26,0.570665,17.245858,0.091955
27,0.583888,17.445174,0.087576
28,0.532101,16.480358,0.124583
29,0.256477,11.687751,0.180231
30,0.456726,14.894743,0.121499
31,0.539599,16.658621,0.110367
32,0.380141,12.914876,0.145237
33,0.585980,17.328599,0.081155
34,0.519047,16.557569,0.112779
35,0.438182,14.790513,0.141532
36,0.293759,12.414537,0.169080
37,0.573426,17.325942,0.102067
38,0.509118,16.010533,0.129286
39,0.501403,15.911309,0.103038
40,0.477004,16.207122,0.145468
41,0.423301,14.937073,0.127766
42,0.574700,17.241881,0.123505
43,0.564805,16.793091,0.113079
44,0.564155,16.876455,0.093909
45,0.607602,18.043794,0.092335
46,0.571880,17.107834,0.115117
47,0.556333,16.723473,0.120756
48,0.559698,16.530009,0.119230
49,0.468763,15.852393,0.131434
50,0.522984,15.863339,0.121423
51,0.415649,14.953040,0.117385
52,0.621954,18.160740,0.086404
53,0.447809,14.640584,0.144419
54,0.438275,15.085684,0.141155
55,0.412109,14.606759,0.129111
56,0.561390,16.686501,0.124342
57,0.393975,13.907273,0.148596
58,0.512131,15.993575,0.122240
59,0.495666,16.647990,0.119425
60,0.571052,16.746392,0.122036
61,0.590674,17.329432,0.084911
62,0.570130,17.561238,0.091090
63,0.593453,17.779666,0.087312
64,0.614972,17.984024,0.077604
65,0.457921,15.376262,0.136940
66,0.385564,13.925699,0.144183
67,0.570996,16.565009,0.112286
68,0.411280,14.856582,0.155907
69,0.449533,14.863218,0.126363
70,0.337062,13.420484,0.166783
71,0.513490,16.033229,0.126752
72,0.402792,14.361539,0.153191
73,0.545429,17.149899,0.127583
74,0.551074,16.522887,0.108960
75,0.550992,16.375489,0.109257
76,0.453309,15.068135,0.136319
77,0.596611,17.829099,0.092718
78,0.541488,16.688790,0.110147
79,0.574021,17.323781,0.099743
80,0.469067,15.336114,0.151198
81,0.490515,16.507518,0.117439
82,0.503948,16.395581,0.088023
83,0.567988,17.155684,0.090092
84,0.557834,17.430827,0.115731
85,0.525254,16.898612,0.104936
86,0.596568,17.710066,0.099684
87,0.503712,16.327846,0.095499
88,0.554853,17.522412,0.135366
89,0.553101,16.570998,0.117456
90,0.600044,17.753539,0.087154
91,0.571940,16.930337,0.091559
92,0.624970,18.211817,0.075311
93,0.640200,18.574301,0.085800
94,0.631641,18.358957,0.077171
95,0.438332,13.812727,0.113713
96,0.563511,17.368996,0.139626
97,0.443272,14.649543,0.167211
98,0.473207,16.041981,0.116971
99,0.589433,17.617836,0.080318
100,0.574093,16.545053,0.114497
101,0.605901,17.744474,0.094306
102,0.614246,18.080954,0.080883
103,0.554584,16.574183,0.115626
104,0.499599,16.438435,0.111675
105,0.629049,17.856121,0.081179
106,0.619726,17.984884,0.076145
107,0.528050,16.994097,0.081631
108,0.438296,14.879060,0.157726
109,0.419516,15.086842,0.120550
110,0.545865,15.981579,0.131548
111,0.572706,17.184749,0.087898
112,0.422326,15.056304,0.136274
113,0.480915,16.122124,0.136035
114,0.592146,16.691473,0.109411
115,0.556833,17.185744,0.105644
116,0.564500,17.296858,0.112976
117,0.542608,16.334323,0.113603
118,0.565218,16.967396,0.097027
119,0.569580,16.803970,0.114819
120,0.591858,17.532780,0.095461
121,0.393379,14.160407,0.163173
122,0.452458,14.974660,0.115295
123,0.507291,15.855118,0.105658
124,0.604439,18.371973,0.085151
125,0.326556,13.540206,0.179074
126,0.597409,17.947005,0.096254
127,0.331566,12.825657,0.183264
128,0.577047,17.530183,0.075281
129,0.456014,15.602218,0.161095
130,0.651672,18.454577,0.090694
131,0.526884,16.267110,0.100667
132,0.530554,16.131284,0.125043
133,0.483201,15.762449,0.136525
134,0.566741,17.146549,0.114804
135,0.506793,16.142151,0.102519
136,0.640566,18.344666,0.089879
137,0.492452,16.005437,0.117813
138,0.501735,16.115332,0.148615
139,0.522973,15.998627,0.107781
140,0.536371,16.431187,0.103059
141,0.630509,18.248333,0.085263
142,0.543860,16.613403,0.112912
143,0.497398,16.056162,0.135765
144,0.661636,18.708366,0.067692
145,0.299785,12.916914,0.228130
146,0.543292,16.538854,0.158386
147,0.581793,17.545747,0.083518
148,0.555301,16.870744,0.092107
149,0.487217,15.846325,0.107510
150,0.619836,17.781536,0.075376
151,0.493438,16.029485,0.107981
152,0.588867,17.719935,0.079720
153,0.491761,15.525093,0.116307
154,0.452916,14.750568,0.110280
155,0.519808,15.961909,0.122186
156,0.471641,15.689008,0.134217
157,0.546785,16.830782,0.101682
158,0.494089,15.386989,0.105425
159,0.543519,16.284101,0.120660
160,0.576856,17.963367,0.106061
161,0.558017,16.938575,0.118100
162,0.580825,17.440182,0.085877
163,0.467112,15.682645,0.126809
164,0.560343,17.165950,0.090721
165,0.592707,17.156030,0.108486
166,0.424339,14.989354,0.124926
167,0.499694,16.974756,0.150754
168,0.503251,16.542684,0.154065
169,0.578076,17.067435,0.099623
170,0.522977,16.452533,0.133257
171,0.531638,16.179459,0.077563
172,0.384474,14.338998,0.154881
173,0.571894,17.375621,0.110076
174,0.496086,15.729399,0.146563
175,0.363919,13.996609,0.150663
176,0.570350,17.164283,0.105003
177,0.498983,16.050764,0.101533
178,0.645475,18.478682,0.082736
179,0.358669,13.881283,0.173769
180,0.635722,18.224617,0.085202
181,0.586885,17.764634,0.099912
182,0.620339,17.610166,0.131873
183,0.419956,14.323807,0.138624
184,0.543082,16.506543,0.131306
185,0.606913,18.053270,0.107719
186,0.539490,17.040132,0.103358
187,0.356941,13.442596,0.200290
188,0.470481,15.662637,0.133682
189,0.498729,16.152715,0.151758
190,0.595713,17.662763,0.082858
191,0.438702,14.980243,0.131958
192,0.611633,17.538101,0.081681
193,0.459023,15.531788,0.136699
194,0.529995,16.697846,0.101000
195,0.455623,15.339214,0.109413
196,0.584265,17.246954,0.092477
197,0.558153,17.058128,0.089664
198,0.553306,16.827974,0.116119
199,0.450622,15.244743,0.188936
200,0.526064,17.042768,0.118360
201,0.619937,17.648468,0.097953
202,0.444550,15.450018,0.127884
203,0.591030,17.591061,0.105509
204,0.515563,15.864889,0.117968
205,0.580829,17.843830,0.113143
206,0.507048,16.092719,0.141057
207,0.514841,16.182317,0.108220
208,0.627643,18.604365,0.093274
209,0.486849,15.702679,0.113284
210,0.575369,16.666316,0.110184
211,0.513974,16.202039,0.101223
212,0.537955,16.471964,0.110699
213,0.520231,16.386494,0.130258
214,0.536135,17.163395,0.116674
215,0.593427,17.588726,0.100401
216,0.600126,17.806113,0.090613
217,0.614218,17.888798,0.104042
218,0.574944,17.349297,0.081784
219,0.584187,17.184366,0.084363
220,0.631261,17.562080,0.098672
221,0.395374,14.184928,0.153492
222,0.576149,17.236802,0.095130
223,0.543969,16.333400,0.130649
224,0.505062,17.277266,0.125451
225,0.455514,15.471212,0.150916
226,0.590284,17.682878,0.081080
227,0.563478,16.309687,0.117655
228,0.511648,16.115692,0.114864
229,0.598859,17.730610,0.086671
230,0.572372,18.105496,0.111963
231,0.555581,16.308104,0.104132
232,0.570098,17.272265,0.100163
233,0.542880,16.486388,0.148516
234,0.517582,16.247840,0.153587
235,0.520173,16.457078,0.104456
236,0.321747,14.166844,0.175463
237,0.511719,16.785289,0.134652
238,0.439249,15.307584,0.162361
239,0.552907,16.283838,0.095124
240,0.589307,17.985392,0.107054
241,0.522745,16.426113,0.112689
242,0.499774,15.673100,0.115802
243,0.520823,16.022726,0.087239
244,0.601491,17.805963,0.083217
245,0.472891,15.926359,0.136047
246,0.608885,17.473250,0.121160
247,0.515166,16.743503,0.117571
248,0.574771,16.422900,0.148811
249,0.330416,13.637029,0.156891
250,0.573269,17.021339,0.126645
251,0.618234,18.124296,0.087979
252,0.519669,16.149449,0.106677
253,0.399032,14.258304,0.149637
254,0.611058,18.411211,0.111388
255,0.501310,15.552715,0.154425
256,0.615557,18.293905,0.106745
257,0.483340,14.500689,0.133639
258,0.506537,15.456156,0.152364
259,0.574381,16.832784,0.105099
260,0.502892,15.803329,0.096241
261,0.522696,16.010986,0.136265
262,0.466931,15.905518,0.119557
263,0.644843,18.622378,0.082686
264,0.603114,17.836711,0.104159
265,0.539449,16.341392,0.096169
266,0.595641,17.073006,0.088850
267,0.553702,16.737543,0.136987
268,0.457303,15.088858,0.110314
269,0.578321,17.313113,0.097287
270,0.515971,15.729739,0.107315
271,0.452156,15.377468,0.116278
272,0.576158,17.468155,0.088684
273,0.606382,18.044088,0.079377
274,0.543588,16.909142,0.156699
275,0.530347,16.530356,0.114920
276,0.405798,15.421865,0.164237
277,0.505425,16.418684,0.104365
278,0.316347,13.122118,0.195251
279,0.509198,16.937569,0.118149
280,0.500179,16.189786,0.113454
281,0.514885,16.611765,0.103642
282,0.507179,16.020406,0.110051
283,0.384725,14.357991,0.118049
284,0.488659,15.595216,0.122091
285,0.569905,17.357556,0.089566
286,0.512456,16.151626,0.117746
287,0.486047,15.433772,0.128984
288,0.599142,17.754548,0.079378
289,0.597806,17.806277,0.115571
290,0.620804,18.123991,0.103707
291,0.555040,17.198580,0.092272
292,0.561052,17.029280,0.123543
293,0.556827,17.128676,0.126232
294,0.554730,16.207901,0.106432
295,0.399185,14.543887,0.145582
296,0.577912,17.606900,0.088201
297,0.524657,16.313573,0.109856
298,0.399475,14.230688,0.163650
299,0.559081,17.150485,0.103091
300,0.426614,14.829147,0.140074
301,0.544205,16.759112,0.088666
302,0.422460,13.872144,0.152510
303,0.474545,15.491084,0.142638
304,0.505797,16.204013,0.109121
305,0.502990,15.548984,0.099751
306,0.591932,17.835624,0.113196
307,0.420933,14.371951,0.157436
308,0.499381,15.966511,0.110318
309,0.420625,14.535633,0.168325
310,0.520809,16.286834,0.144756
311,0.415581,13.994792,0.159496
312,0.616052,17.993380,0.080052
313,0.551977,16.665079,0.125388
314,0.486668,15.713481,0.105002
315,0.430479,14.427434,0.127133
316,0.538787,16.609199,0.107538
317,0.542568,16.505044,0.115047
318,0.450891,15.052262,0.104522
319,0.617284,18.601053,0.111486
320,0.488196,15.983080,0.112078
321,0.536408,16.412531,0.124543
322,0.643037,18.338857,0.079156
323,0.393910,14.044020,0.167094
324,0.498175,16.479518,0.087279
325,0.530116,16.673878,0.099406
326,0.565051,17.017277,0.105381
327,0.441074,14.352002,0.151246
328,0.489057,16.207120,0.090067
329,0.560560,17.546996,0.113331
330,0.590893,17.850010,0.106780
331,0.477122,15.058601,0.111756
332,0.498025,16.429199,0.085340
333,0.623296,18.196743,0.076710
334,0.526932,16.025730,0.118911
335,0.527824,15.928576,0.114906
336,0.492580,16.724113,0.088580
337,0.416011,15.148343,0.140040
338,0.525037,16.261172,0.095012
339,0.551668,15.945606,0.115523
340,0.578478,17.453023,0.098979
341,0.498959,16.271462,0.108404
342,0.515048,16.102407,0.091624
343,0.591518,17.316618,0.112169
344,0.593695,17.265965,0.081069
345,0.496250,15.478118,0.148394
346,0.510931,15.562023,0.102417
347,0.584613,17.505636,0.097918
348,0.525266,16.028357,0.118136
349,0.549234,16.787320,0.138156
350,0.603668,17.511999,0.098873
351,0.605808,18.186428,0.090186
352,0.564000,17.909867,0.107115
353,0.562145,17.350681,0.111161
354,0.423917,14.627526,0.142585
355,0.382456,14.208877,0.139300
356,0.473936,14.869472,0.146890
357,0.404382,14.123329,0.158744
358,0.541846,17.323103,0.113142
359,0.403408,13.895784,0.174527
360,0.487209,15.604338,0.127071
361,0.587088,16.870688,0.099171
362,0.450134,15.081959,0.156811
363,0.524560,16.335192,0.126702
364,0.569104,17.195580,0.083109
365,0.630352,18.253301,0.094377
366,0.515786,15.624499,0.131206
367,0.575264,16.874276,0.089673
368,0.540380,16.132321,0.119012
369,0.476299,15.236093,0.123289
370,0.599490,17.936889,0.090991
371,0.587087,17.521895,0.121922
372,0.318753,12.756820,0.209041
373,0.410939,15.050054,0.147702
374,0.615964,17.911546,0.110575
375,0.487697,15.351727,0.094607
376,0.557010,16.549203,0.107285
377,0.454760,14.899637,0.112115
378,0.589466,17.588849,0.094559
379,0.616236,17.732886,0.078315
380,0.654057,18.480858,0.075723
381,0.496524,16.247120,0.123097
382,0.470988,15.496583,0.136564
383,0.643024,18.287601,0.095863
384,0.500701,16.269648,0.099940
385,0.608988,17.544379,0.099236
386,0.450944,15.103217,0.115979
387,0.455431,15.604639,0.127457
388,0.336305,13.747639,0.181179
389,0.646451,18.506268,0.078617
390,0.633260,18.217887,0.075147
391,0.561081,17.370147,0.110825
392,0.657651,18.957478,0.066697
393,0.549654,16.682185,0.102864
394,0.512823,16.738395,0.105326
395,0.551663,16.681870,0.116413
396,0.577859,16.644059,0.108643
397,0.610521,17.758687,0.078511
398,0.522293,16.862149,0.134601
399,0.622408,17.468624,0.095743
400,0.617478,17.492570,0.118711
401,0.454346,15.306972,0.153911
402,0.558288,16.137108,0.098158
403,0.548760,17.058368,0.080404
404,0.489866,15.908816,0.109621
405,0.376522,13.619626,0.194167
406,0.552168,16.630524,0.090827
407,0.440563,15.536997,0.128485
408,0.577802,16.711324,0.107824
409,0.582916,17.625108,0.079168
410,0.463752,15.344289,0.127617
411,0.614391,17.822511,0.102569
412,0.501960,16.587832,0.103634
413,0.531059,15.915552,0.128815
414,0.441207,14.828190,0.182030
415,0.547677,16.533210,0.087852
416,0.564798,16.336134,0.110758
417,0.501796,15.611161,0.136740
418,0.540011,16.168160,0.104560
419,0.535188,16.107641,0.097673
420,0.514349,16.211217,0.103668
421,0.575623,16.573021,0.103571
422,0.272665,12.964132,0.181668
423,0.415837,14.296675,0.153047
424,0.390112,13.445125,0.177330
425,0.524106,16.853057,0.106158
426,0.513672,15.789243,0.119571
427,0.541948,16.916589,0.095205
428,0.550850,17.748240,0.101532
429,0.303540,13.206780,0.183970
430,0.459985,15.501644,0.117595
431,0.569560,17.585611,0.103362
432,0.517369,15.804307,0.127111
433,0.660568,19.074322,0.081527
434,0.440131,15.034618,0.144582
435,0.349700,14.077662,0.197935
436,0.414863,13.411714,0.118581
437,0.408537,14.468801,0.143413
438,0.427990,14.906193,0.150407
439,0.598946,17.323319,0.116065
440,0.548723,17.152346,0.136330
441,0.612965,17.927976,0.086884
442,0.459526,15.092900,0.128028
443,0.455062,15.173769,0.142150
444,0.522944,16.916990,0.161827
445,0.586968,17.111189,0.103141
446,0.312621,13.140989,0.182208
447,0.474373,14.770527,0.133127
448,0.586582,17.345048,0.101349
449,0.493560,16.048065,0.132826
450,0.511760,16.439022,0.125146
451,0.508196,15.842736,0.111546
452,0.467877,16.179961,0.117949
453,0.473423,15.298954,0.090202
454,0.574991,17.086386,0.126099
455,0.575696,16.994817,0.106148
456,0.497075,15.937868,0.140109
457,0.572660,17.337939,0.087178
458,0.586355,18.121614,0.121449
459,0.434076,15.259822,0.134564
460,0.560562,16.635942,0.109041
461,0.542946,16.839735,0.098569
462,0.452280,16.346090,0.141538
463,0.515398,15.937938,0.126885
464,0.583120,17.430895,0.097781
465,0.380928,14.088215,0.167689
466,0.469174,15.306296,0.122502
467,0.487663,16.426781,0.148800
468,0.522223,16.315874,0.104441
469,0.491274,16.637541,0.152711
470,0.574776,17.362928,0.091992
471,0.522641,16.257377,0.099570
472,0.554602,16.871037,0.104323
473,0.586214,17.559872,0.090181
474,0.583877,17.381979,0.077815
475,0.499721,16.137402,0.102805
476,0.588648,17.469493,0.086447
477,0.528230,16.743676,0.089256
478,0.527166,16.565617,0.113028
479,0.515917,16.283838,0.126391
480,0.604206,17.561030,0.088022
481,0.517831,15.996904,0.116641
482,0.600463,17.684345,0.086223
483,0.583940,17.441764,0.100101
484,0.459816,14.778467,0.132137
485,0.561351,17.342312,0.109131
486,0.612420,18.007823,0.103720
487,0.533070,16.644004,0.121321
488,0.570190,16.934613,0.110573
489,0.612801,17.848225,0.096741
490,0.512938,16.308980,0.097813
491,0.494696,15.580207,0.106726
492,0.420085,15.253132,0.146622
493,0.619633,17.926095,0.096595
494,0.432011,15.642230,0.147732
495,0.504807,16.157043,0.112067
496,0.527195,16.355394,0.139527
497,0.471067,15.278713,0.131774
498,0.462920,15.925521,0.109852
499,0.589664,17.249402,0.111709
500,0.663856,18.909571,0.079671
501,0.480821,16.120690,0.113209
502,0.614959,17.724573,0.094628
503,0.527090,16.767195,0.125162
504,0.526520,16.727614,0.113698
505,0.570754,17.012904,0.102123
506,0.615020,18.440938,0.118188
507,0.551942,16.491275,0.106363
508,0.411984,14.823222,0.147137
509,0.490002,15.612315,0.104958
510,0.600891,17.641783,0.098510
511,0.499424,15.351260,0.111115
512,0.324719,13.064993,0.152624
513,0.507862,15.953476,0.137446
514,0.547895,16.255742,0.108813
515,0.501310,15.839256,0.148249
516,0.449739,15.343949,0.177401
517,0.523300,16.506788,0.120442
518,0.503505,15.849332,0.167046
519,0.531772,16.078877,0.094112
520,0.562484,16.285705,0.110410
521,0.596638,17.389892,0.083062
522,0.449465,15.175047,0.116591
523,0.576690,17.353930,0.121494
524,0.459914,15.615680,0.157032
525,0.513084,16.037195,0.099639
526,0.441154,15.254764,0.151763
527,0.531135,16.378576,0.148467
528,0.602340,17.500859,0.082824
529,0.565927,17.419166,0.089410
530,0.569134,16.817887,0.120073
531,0.373513,14.161084,0.157988
532,0.537924,16.608741,0.086156
533,0.656185,18.477194,0.079283
534,0.591452,17.517551,0.088750
535,0.471443,15.711890,0.107928
536,0.596579,17.570171,0.096755
537,0.606135,17.869362,0.121456
538,0.502323,16.031862,0.113240
539,0.487905,16.548960,0.098729
540,0.650206,18.487159,0.096625
541,0.635280,18.254620,0.083628
542,0.331982,12.966051,0.177853
543,0.481885,15.867906,0.153638
544,0.549703,16.983856,0.139238
545,0.544054,15.907627,0.146263
546,0.599771,18.039018,0.074264
547,0.443766,15.178387,0.146385
548,0.570938,17.010221,0.104361
549,0.659796,18.841850,0.095401
550,0.531846,16.292339,0.083004
551,0.444951,14.738868,0.139903
552,0.582976,17.903003,0.126768
553,0.446370,14.612772,0.127380
554,0.617031,18.003856,0.075540
555,0.557233,17.179088,0.124892
556,0.367870,13.951319,0.133641
557,0.477481,15.847058,0.113841
558,0.469389,15.835261,0.128619
559,0.551918,17.048010,0.085608
560,0.501474,15.643921,0.111305
561,0.625467,18.136452,0.093186
562,0.516461,16.627500,0.112264
563,0.507591,15.792329,0.122507
564,0.497094,15.704237,0.133005
565,0.477440,15.603308,0.120996
566,0.551443,17.280082,0.069397
567,0.471854,15.912780,0.101832
568,0.597666,17.611257,0.102604
569,0.584446,17.511736,0.080833
570,0.595669,17.361121,0.091761
571,0.515551,16.128421,0.126070
572,0.394835,14.683394,0.175164
573,0.521174,16.750498,0.105909
574,0.668267,18.304634,0.082649
575,0.613471,17.897231,0.121612
576,0.455383,15.342913,0.136211
577,0.520080,15.298183,0.154345
578,0.584561,17.541566,0.119153
579,0.614365,17.737513,0.090606
580,0.585316,17.295372,0.086365
581,0.491210,16.283145,0.101692
582,0.637861,17.973214,0.105871
583,0.513778,16.257742,0.119060
584,0.551296,17.093263,0.113722
585,0.567030,17.451177,0.119074
586,0.510211,16.415165,0.093108
587,0.600564,17.564584,0.079966
588,0.551370,17.244384,0.092721
589,0.564574,17.149398,0.091543
590,0.536607,16.424786,0.105099
591,0.537848,16.221410,0.114974
592,0.527398,16.689935,0.106008
593,0.523884,16.548009,0.111443
594,0.463408,14.968860,0.120767
595,0.454969,14.763550,0.121897
596,0.503984,16.346416,0.103115
597,0.547420,16.336883,0.097737
598,0.542205,16.744636,0.104204
599,0.602812,17.680874,0.111775
600,0.437306,14.975892,0.152333
601,0.613512,17.786856,0.112380
602,0.337228,13.473120,0.181993
603,0.593455,18.072508,0.087036
604,0.353555,13.554975,0.138818
605,0.682009,19.304887,0.073638
606,0.582896,17.447560,0.107018
607,0.499211,16.637114,0.127195
608,0.579804,17.388469,0.099369
609,0.481476,15.961919,0.128036
610,0.552729,16.810087,0.086863
611,0.550750,17.435226,0.139961
612,0.462100,15.515266,0.148110
613,0.463416,14.819551,0.118661
614,0.647850,18.437173,0.094348
615,0.611212,17.705088,0.105171
616,0.566336,17.266296,0.104617
617,0.600386,17.435899,0.094946
618,0.495954,16.219998,0.129749
619,0.603361,17.643556,0.085845
620,0.582129,17.636393,0.094796
621,0.489953,16.045351,0.136671
622,0.607454,17.776075,0.099225
623,0.435929,14.499873,0.132701
624,0.482807,16.195230,0.094857
625,0.269725,12.483580,0.181006
626,0.494868,16.196136,0.131145
627,0.449461,15.601074,0.149340
628,0.572884,17.328045,0.098154
629,0.612829,18.134751,0.101962
630,0.567216,17.027107,0.098191
631,0.467210,15.473137,0.174788
632,0.607375,17.660071,0.083228
633,0.429576,15.417535,0.132231
634,0.518697,16.778825,0.126017
635,0.411609,13.727002,0.172257
636,0.502804,16.012229,0.124242
637,0.540677,16.395826,0.111291
638,0.451919,15.011737,0.182796
639,0.599060,17.788332,0.082238
640,0.478771,16.525549,0.124608
641,0.617691,17.565147,0.113339
642,0.552704,16.650304,0.113866
643,0.470899,15.359391,0.137127
644,0.472773,15.764660,0.124137
645,0.467198,15.562956,0.115740
646,0.628166,18.186085,0.073778
647,0.543917,16.616941,0.114535
648,0.553426,16.906752,0.092875
649,0.527131,15.866814,0.104074
650,0.550770,17.128465,0.108594
651,0.565524,16.303588,0.105415
652,0.586155,17.213933,0.114720
653,0.413277,14.374834,0.159336
654,0.573119,17.019506,0.106984
655,0.474049,15.494390,0.147109
656,0.615095,17.865910,0.081039
657,0.582765,17.491169,0.077971
658,0.453644,14.891031,0.138880
659,0.478108,15.477466,0.143647
660,0.593078,17.377279,0.086623
661,0.512819,15.882382,0.145923
662,0.464135,14.919376,0.115368
663,0.574592,16.754430,0.122346
664,0.601044,17.450539,0.093371
665,0.531348,16.318103,0.099840
666,0.462740,15.012974,0.114754
