sample_id,ssim,psnr,lpips
1,0.333927,13.887426,0.176381
2,0.586757,17.586887,0.107046
3,0.532269,16.816169,0.103488
4,0.515803,16.424670,0.138511
5,0.490037,15.395116,0.143904
6,0.421245,15.015549,0.142381
7,0.388647,14.927231,0.185386
8,0.457439,15.073493,0.145275
9,0.501018,16.404418,0.128167
10,0.492865,16.056456,0.114852
11,0.346797,13.590310,0.214929
12,0.553863,16.575096,0.106617
13,0.341637,13.256537,0.152711
14,0.589969,17.650107,0.108700
15,0.559957,16.752994,0.103475
16,0.547739,17.136966,0.106341
17,0.486116,16.416445,0.150095
18,0.323778,13.142038,0.207896
19,0.542993,17.002408,0.113890
20,0.587969,17.709636,0.115803
21,0.557905,16.966050,0.116974
22,0.577170,17.358589,0.121483
23,0.398689,14.263616,0.171326
24,0.516210,16.726336,0.122833
25,0.498885,15.911967,0.148818
26,0.502193,16.289607,0.107886
27,0.545769,17.178209,0.118054
28,0.478634,15.562977,0.160457
29,0.267140,11.335470,0.184835
30,0.412016,14.472726,0.139516
31,0.549939,16.946224,0.126056
32,0.362128,13.019409,0.182696
33,0.555954,17.202836,0.120998
34,0.541255,16.985281,0.116206
35,0.450391,14.975869,0.153183
36,0.270234,12.244205,0.180845
37,0.518530,16.567442,0.115645
38,0.475201,16.071206,0.144265
39,0.455661,15.437574,0.125279
40,0.475694,16.529887,0.166178
41,0.499911,16.485426,0.132699
42,0.476464,15.577011,0.162399
43,0.498233,15.930698,0.120425
44,0.498895,15.600852,0.117876
45,0.525649,16.483763,0.132137
46,0.485839,16.261990,0.119344
47,0.522412,16.323125,0.145702
48,0.555829,16.868439,0.145526
49,0.436492,15.451945,0.151815
50,0.466088,15.394200,0.144596
51,0.424325,15.360125,0.132011
52,0.507894,16.304369,0.107545
53,0.408739,14.184794,0.173910
54,0.404784,14.296606,0.159553
55,0.452069,15.432960,0.155580
56,0.553579,16.777543,0.126166
57,0.443530,14.942071,0.146954
58,0.517381,16.377460,0.147634
59,0.514228,16.411847,0.138136
60,0.472793,15.521523,0.146485
61,0.492733,16.276572,0.130510
62,0.526740,17.212960,0.137878
63,0.507275,16.304828,0.111890
64,0.531299,16.659943,0.111609
65,0.400207,14.310277,0.148239
66,0.415646,14.464339,0.126971
67,0.504906,15.745149,0.145652
68,0.405079,14.974038,0.148946
69,0.388437,14.155908,0.147534
70,0.323531,13.276211,0.162065
71,0.440959,15.143592,0.114801
72,0.413576,14.924650,0.157661
73,0.550422,17.452716,0.152750
74,0.566592,17.345413,0.111610
75,0.387347,14.042616,0.161584
76,0.455500,14.851648,0.177070
77,0.548985,17.244514,0.124236
78,0.506040,16.296786,0.110879
79,0.526767,16.789838,0.124472
80,0.509942,16.239933,0.178370
81,0.428518,15.389354,0.149020
82,0.551134,16.724996,0.103177
83,0.428943,14.821842,0.116287
84,0.511920,16.970519,0.130065
85,0.486796,16.358342,0.126898
86,0.509787,16.460684,0.144867
87,0.457321,15.844949,0.103325
88,0.483471,16.208095,0.152110
89,0.511743,15.946595,0.139020
90,0.540287,17.108190,0.111641
91,0.511389,16.170388,0.117830
92,0.524104,16.452657,0.116679
93,0.608536,18.099091,0.109560
94,0.548559,17.058109,0.112700
95,0.412433,13.539224,0.151323
96,0.449261,15.570350,0.174045
97,0.437626,14.505689,0.180876
98,0.456199,15.812411,0.123050
99,0.503364,16.353340,0.132575
100,0.551846,16.522574,0.132426
101,0.517424,16.143200,0.120477
102,0.605592,18.162929,0.106990
103,0.449433,15.258011,0.143080
104,0.476274,16.104955,0.127559
105,0.543688,16.493410,0.124849
106,0.563029,17.116606,0.095352
107,0.556247,17.136556,0.121678
108,0.380201,14.260406,0.152560
109,0.418692,15.129451,0.144751
110,0.563118,16.593128,0.137583
111,0.520838,16.706898,0.110445
112,0.379407,14.699247,0.151576
113,0.412376,15.135623,0.178441
114,0.547164,16.333200,0.127477
115,0.524351,16.547559,0.123956
116,0.528486,16.990723,0.137574
117,0.484462,15.570836,0.154822
118,0.533531,16.473821,0.134585
119,0.542854,16.349098,0.137303
120,0.533908,16.788832,0.126032
121,0.429839,14.843071,0.171241
122,0.433298,14.763940,0.140476
123,0.513711,16.036078,0.112750
124,0.545957,17.363137,0.096421
