sample_id,ssim,psnr,lpips
1,0.571893,19.403516,0.024595
2,0.509090,17.676642,0.050778
3,0.516681,17.918781,0.030192
4,0.521406,18.588135,0.025128
5,0.330820,16.079250,0.035689
6,0.616318,19.368443,0.028721
7,0.376462,15.929963,0.045636
8,0.548469,19.323525,0.032167
9,0.262897,13.273960,0.072784
10,0.570813,19.311094,0.026515
11,0.717225,22.013396,0.020975
12,0.526894,17.883948,0.040243
13,0.504852,18.223026,0.029367
14,0.555083,18.569430,0.036286
15,0.474471,17.311767,0.035997
16,0.561161,18.499375,0.034777
17,0.537857,18.846325,0.022753
18,0.586343,19.696690,0.028822
19,0.553562,17.401724,0.046571
20,0.655931,20.781135,0.025015
21,0.477159,17.321079,0.031796
22,0.697766,21.555980,0.023982
23,0.472761,17.527322,0.025207
24,0.483949,16.693546,0.044929
25,0.580111,19.148380,0.024786
26,0.304734,14.997423,0.037339
27,0.619277,20.587128,0.023873
28,0.379124,14.735821,0.043868
29,0.664931,21.456386,0.026635
30,0.369184,15.512160,0.036854
31,0.426095,17.008675,0.035772
32,0.360030,16.808766,0.045914
33,0.510268,18.346405,0.020498
34,0.452147,16.960082,0.034904
35,0.506456,17.293732,0.025159
36,0.533751,18.043783,0.034561
37,0.543458,18.614295,0.037294
38,0.466990,16.479271,0.039828
39,0.439295,16.462496,0.055634
40,0.379462,16.188748,0.052500
41,0.479740,17.538099,0.030166
42,0.630496,19.798920,0.038413
43,0.457056,17.516695,0.032157
44,0.546356,18.882416,0.025865
45,0.600971,20.027440,0.030416
46,0.507645,18.312628,0.039361
47,0.672479,20.693070,0.023647
48,0.631416,20.597649,0.048580
49,0.495437,17.197389,0.044402
50,0.458502,17.089260,0.032698
51,0.547152,18.713504,0.040342
52,0.588346,19.694062,0.022499
53,0.467608,17.106447,0.039541
54,0.512187,17.764846,0.029142
55,0.619686,20.138123,0.031528
56,0.603403,19.720561,0.036198
57,0.602265,19.651504,0.020898
58,0.629158,20.736751,0.036755
59,0.239112,13.700713,0.069696
60,0.625365,20.420450,0.025507
61,0.579499,19.890329,0.022784
62,0.527901,18.299096,0.032213
63,0.472790,18.299831,0.036338
64,0.464940,16.868165,0.043601
65,0.470347,16.910738,0.048716
66,0.483905,17.282439,0.049496
67,0.508074,16.974350,0.049726
68,0.503432,17.624434,0.036031
69,0.288912,14.219807,0.070720
70,0.540071,18.055071,0.040485
71,0.496706,17.640911,0.027470
72,0.579641,19.288660,0.031871
73,0.503542,17.777005,0.041289
74,0.468729,17.252888,0.042015
75,0.719045,21.879410,0.019823
76,0.532917,17.701424,0.023445
77,0.471600,17.225222,0.030508
78,0.571263,18.253958,0.042806
79,0.633422,19.387997,0.030170
80,0.436935,16.901483,0.039094
81,0.423354,15.756804,0.047412
82,0.523821,18.624213,0.026300
83,0.539048,17.750413,0.032615
84,0.261917,13.980511,0.058811
85,0.446311,17.118205,0.024425
86,0.395319,16.442058,0.030905
87,0.512697,17.223810,0.036222
88,0.417626,16.011292,0.039731
89,0.509287,17.871412,0.048148
90,0.498735,17.649691,0.028803
91,0.464841,17.258251,0.033155
92,0.532965,18.266901,0.034124
93,0.541571,18.063482,0.030253
94,0.485076,17.173570,0.037140
95,0.635439,20.330881,0.050508
96,0.528059,19.304063,0.038788
97,0.598210,19.762110,0.028238
98,0.650872,20.815957,0.027992
99,0.478907,17.523581,0.036940
100,0.654255,21.456558,0.020290
101,0.526244,17.970297,0.035659
102,0.553449,18.332735,0.027956
103,0.388658,15.798838,0.057592
104,0.605628,19.850156,0.030308
105,0.374680,16.092406,0.056640
106,0.524389,19.370783,0.020425
107,0.562765,18.574553,0.025391
108,0.493295,18.203418,0.036663
109,0.409961,16.389818,0.036220
110,0.451304,17.141490,0.027978
111,0.562528,19.750109,0.034715
112,0.549925,19.034607,0.029174
113,0.637647,19.955856,0.024273
114,0.633453,19.523045,0.024173
115,0.407486,16.305999,0.031585
116,0.572541,18.370980,0.044818
117,0.550017,18.331997,0.020316
118,0.481538,16.773575,0.043792
119,0.370001,15.750845,0.045215
120,0.586746,19.451006,0.033597
121,0.406664,16.807409,0.033943
122,0.429674,16.233569,0.037289
123,0.535218,18.394429,0.039312
124,0.516411,18.695056,0.024151
125,0.552549,18.805258,0.040143
126,0.371173,15.225848,0.032076
127,0.457780,16.840102,0.041754
128,0.557287,18.542088,0.040737
129,0.504803,18.009977,0.031225
130,0.499923,18.067987,0.029268
131,0.461526,17.594905,0.034500
132,0.398791,16.084869,0.039176
133,0.511000,17.155035,0.039878
134,0.486522,17.676058,0.033239
135,0.453115,17.572596,0.042849
136,0.504458,17.491262,0.032500
137,0.602181,20.359441,0.030638
138,0.540439,18.261862,0.038647
139,0.538146,18.186003,0.027080
140,0.591103,20.005360,0.026880
141,0.477568,17.196002,0.033571
142,0.381306,16.412026,0.035346
143,0.625469,20.140295,0.029153
144,0.635199,19.803514,0.032326
145,0.464369,16.801009,0.049656
146,0.334238,14.918275,0.059187
147,0.380826,15.516024,0.040224
148,0.589519,19.757498,0.033769
149,0.582509,18.538569,0.040762
150,0.600140,19.873069,0.033031
151,0.511947,17.568123,0.032166
152,0.479770,17.681228,0.038697
153,0.643247,19.619431,0.033453
154,0.481429,16.763630,0.064677
155,0.554523,18.174119,0.027078
156,0.479741,16.981887,0.051782
157,0.468933,17.174230,0.032934
158,0.571759,18.561092,0.030823
159,0.400233,15.471348,0.045937
160,0.386295,15.386392,0.045097
161,0.537325,17.976839,0.028719
162,0.426757,16.813294,0.042881
163,0.505277,17.482617,0.032467
164,0.524500,17.895781,0.035855
165,0.554491,18.718402,0.032312
166,0.538194,18.660107,0.024095
167,0.522819,17.174488,0.046965
168,0.567401,18.532135,0.029510
169,0.524077,18.062160,0.063979
170,0.445501,17.050931,0.050693
171,0.372200,15.302172,0.049335
172,0.492496,18.165051,0.050084
173,0.492875,17.477455,0.038430
174,0.600321,19.611367,0.024773
175,0.378829,16.319324,0.032429
176,0.468257,17.284921,0.040089
177,0.312921,14.133856,0.058005
178,0.474774,17.036668,0.042050
179,0.495722,17.643642,0.036306
180,0.508369,18.180012,0.027991
181,0.481912,16.670752,0.055616
182,0.577924,19.690595,0.039721
183,0.595660,19.844139,0.021281
184,0.202725,13.417696,0.061682
185,0.501924,16.303761,0.042348
186,0.487311,17.472567,0.036967
187,0.641192,20.772180,0.021047
188,0.533742,18.341748,0.041185
189,0.517583,18.451542,0.051202
190,0.594366,18.612914,0.034329
191,0.385234,15.913384,0.043160
192,0.613093,20.318280,0.026693
193,0.511737,17.628105,0.031893
194,0.521454,17.472142,0.048009
195,0.455201,16.847897,0.040087
196,0.361029,15.621730,0.050092
197,0.553416,18.496618,0.041502
198,0.376158,15.231947,0.039899
199,0.611108,20.117090,0.030408
200,0.560345,19.132236,0.034483
201,0.639631,19.819844,0.024383
202,0.395929,16.621965,0.040291
203,0.460648,17.993464,0.054442
204,0.220571,12.934075,0.066613
205,0.503448,17.321244,0.038163
206,0.551471,19.219691,0.034151
207,0.502606,17.637356,0.052550
208,0.529218,17.783301,0.043779
209,0.449899,15.876531,0.040194
210,0.476915,17.652085,0.034137
211,0.446111,16.877532,0.041214
212,0.380793,15.581722,0.040082
213,0.478347,17.875722,0.062621
214,0.473840,17.696812,0.054121
215,0.282182,14.595882,0.059613
216,0.417957,16.402414,0.045378
217,0.424443,16.582112,0.031795
