sample_id,ssim,psnr,lpips
1,0.648636,19.466307,0.022582
2,0.559612,18.015809,0.043270
3,0.331473,14.210236,0.027991
4,0.357141,14.763594,0.028040
5,0.415095,16.192171,0.038639
6,0.383564,14.200737,0.032102
7,0.459475,16.369634,0.038920
8,0.408984,15.570091,0.046918
9,0.320435,14.316283,0.059716
10,0.500962,17.500755,0.020584
11,0.650875,20.894433,0.019561
12,0.605156,18.352044,0.029836
13,0.316432,15.418795,0.036376
14,0.396558,14.578507,0.033542
15,0.530017,16.458565,0.033899
16,0.366616,14.681096,0.037775
17,0.533508,18.357231,0.026735
18,0.352521,15.138181,0.036880
19,0.530329,16.722597,0.043505
20,0.384789,16.509113,0.026926
21,0.539153,17.913515,0.033587
22,0.572025,19.029469,0.030202
23,0.587483,18.121664,0.022171
24,0.449871,16.077349,0.047172
25,0.537122,18.110874,0.034841
26,0.343991,15.209900,0.046380
27,0.443168,17.479357,0.027323
28,0.330417,13.545481,0.049240
29,0.486660,18.501347,0.025436
30,0.409002,15.855210,0.028397
31,0.569492,18.231283,0.036538
32,0.286401,13.956799,0.063599
33,0.651164,19.163591,0.021182
34,0.324128,13.630950,0.042726
35,0.558721,17.875947,0.024102
36,0.534712,16.906770,0.042570
37,0.499213,17.751550,0.044938
38,0.564367,17.117062,0.034141
39,0.510694,17.166876,0.042453
40,0.472512,17.024389,0.046574
41,0.378064,15.046203,0.035741
42,0.487792,17.634726,0.039918
43,0.480179,17.294173,0.028775
44,0.557396,17.417146,0.033070
45,0.324532,14.223871,0.042016
46,0.399818,15.923997,0.050062
47,0.427116,16.772701,0.040012
48,0.351088,15.941305,0.054363
49,0.534463,16.813139,0.044183
50,0.643184,19.000337,0.023480
51,0.541170,17.675058,0.043189
52,0.652631,19.677824,0.019725
53,0.491648,16.413792,0.040596
54,0.454407,15.890066,0.032107
55,0.585269,19.755051,0.030374
56,0.559439,18.415044,0.044178
57,0.466323,16.458211,0.033199
58,0.493035,18.338163,0.041280
59,0.325198,14.203349,0.062887
60,0.357360,15.141562,0.035444
61,0.458071,16.773924,0.024887
62,0.405836,15.706170,0.033006
63,0.334553,14.079486,0.049875
64,0.318993,13.217525,0.054852
65,0.317147,13.561282,0.056809
66,0.341215,14.121371,0.041003
67,0.357004,14.702345,0.052387
68,0.584937,17.994661,0.028196
69,0.373262,14.978057,0.059290
70,0.625068,18.114732,0.037764
71,0.526832,17.955317,0.024299
72,0.509816,18.008861,0.034567
73,0.547680,17.808694,0.040295
74,0.513037,17.532723,0.038087
75,0.536898,19.793115,0.028134
76,0.648397,18.468907,0.019889
77,0.591873,18.218196,0.027100
78,0.521933,17.133166,0.042214
79,0.509693,16.933853,0.041650
80,0.308523,13.902835,0.041013
81,0.495200,16.738260,0.044242
82,0.366939,15.039377,0.032156
83,0.536048,17.049995,0.037482
84,0.337371,14.509817,0.050459
85,0.603400,18.860194,0.019445
86,0.344739,14.915274,0.039935
87,0.411156,15.614403,0.035099
88,0.465868,16.413510,0.044550
89,0.329163,14.039721,0.045655
90,0.594970,18.102460,0.028627
91,0.317769,13.893793,0.033741
92,0.658062,19.041001,0.027623
93,0.615062,17.951813,0.031634
94,0.602598,18.238909,0.033682
95,0.559094,19.175273,0.044703
96,0.443855,17.672642,0.051377
97,0.498051,18.062829,0.029400
98,0.471197,17.503039,0.037777
99,0.337464,13.791723,0.047897
100,0.672998,20.428843,0.023598
101,0.552640,17.656740,0.035945
102,0.316404,13.538438,0.033108
103,0.510174,16.915175,0.046153
104,0.302866,14.509892,0.039300
105,0.224133,13.086150,0.053858
106,0.403248,15.844477,0.024168
107,0.613246,18.394097,0.017248
108,0.362315,15.677357,0.044043
109,0.453699,16.525078,0.032202
110,0.292742,13.246470,0.033724
111,0.373158,15.933278,0.038887
112,0.456512,17.417390,0.029108
113,0.514321,18.495711,0.029366
114,0.624542,18.906865,0.020310
115,0.536331,17.357639,0.025598
116,0.656215,18.838565,0.035897
117,0.339819,14.131119,0.031637
118,0.387536,15.520204,0.046399
119,0.469405,16.358485,0.040583
120,0.298538,14.279136,0.055200
121,0.427926,16.565323,0.042716
122,0.405738,15.705512,0.038566
123,0.639118,18.378803,0.036227
124,0.367568,14.554247,0.035791
125,0.508981,17.601895,0.046325
126,0.270071,13.111072,0.039711
127,0.445779,16.237382,0.034455
128,0.332945,14.323694,0.038915
129,0.343733,14.804440,0.038086
130,0.590814,18.524901,0.036439
131,0.347050,14.548703,0.036570
132,0.283032,13.262405,0.049550
133,0.523015,17.217715,0.033478
134,0.331209,13.822105,0.029533
135,0.344302,14.477600,0.044087
136,0.349290,13.908089,0.041163
137,0.471013,17.919027,0.037538
138,0.326244,14.724271,0.044240
139,0.660852,19.142562,0.022700
140,0.552895,18.950792,0.039082
141,0.332044,13.738904,0.033943
142,0.286440,13.812463,0.045154
143,0.501433,17.858060,0.033498
144,0.396165,15.806283,0.034146
145,0.337307,13.807429,0.055285
146,0.233293,12.625911,0.063628
147,0.274230,13.625288,0.045790
148,0.427027,16.516720,0.039889
149,0.548514,17.744074,0.043077
150,0.390899,15.228903,0.034842
151,0.542033,17.570528,0.040456
152,0.506655,17.890877,0.034696
153,0.587801,18.692531,0.028915
154,0.514232,16.635385,0.051939
155,0.617946,18.504069,0.023506
156,0.580261,17.504189,0.048694
157,0.571682,18.168898,0.034498
158,0.598588,18.860860,0.026055
159,0.492992,16.503016,0.053505
160,0.393019,15.784856,0.046812
161,0.529282,17.802381,0.023484
162,0.433679,16.206671,0.044807
163,0.566361,18.254450,0.031792
164,0.529648,17.954401,0.036429
165,0.520580,17.684251,0.031316
166,0.656264,19.192261,0.024068
167,0.352408,14.326811,0.048774
168,0.329512,14.112422,0.030689
169,0.333146,14.920941,0.057858
170,0.576225,18.066997,0.038638
171,0.328109,13.654378,0.045963
172,0.361333,15.993307,0.052624
173,0.586687,18.094599,0.028818
174,0.534883,18.085949,0.034383
175,0.470474,16.596826,0.036487
176,0.559847,18.113806,0.026148
177,0.284686,12.739771,0.078828
178,0.363268,14.680364,0.043564
179,0.505038,17.077574,0.036968
180,0.392693,15.105009,0.040409
181,0.449092,16.336477,0.041747
182,0.445816,17.021102,0.050983
183,0.471519,17.283927,0.027927
184,0.297388,14.094344,0.055159
185,0.441795,15.190359,0.057522
186,0.444271,16.002922,0.035369
187,0.473735,17.372780,0.031724
188,0.484326,17.532092,0.042730
189,0.393852,15.463106,0.056470
190,0.631873,18.713368,0.036665
191,0.393193,15.737352,0.052618
192,0.508491,18.540168,0.031914
193,0.649226,19.189831,0.028800
194,0.559539,16.623598,0.054043
195,0.578632,18.464527,0.031486
196,0.266177,13.329083,0.057162
197,0.384024,15.315071,0.039208
198,0.399602,15.182853,0.043054
199,0.371912,15.839891,0.032220
200,0.629444,18.858710,0.037678
201,0.635491,19.507069,0.021386
202,0.459121,16.615202,0.051921
203,0.301892,14.624619,0.062123
204,0.270818,13.220896,0.062208
205,0.355389,15.111862,0.045060
206,0.386188,15.345606,0.039905
207,0.325692,14.076316,0.056042
208,0.301329,14.272183,0.036636
209,0.570295,17.222752,0.030526
210,0.278246,13.588496,0.047587
211,0.481357,16.948996,0.039555
212,0.443909,16.459502,0.024176
213,0.415280,17.223603,0.065962
214,0.277319,13.682982,0.052516
215,0.312361,14.538249,0.055181
216,0.283668,13.451148,0.050549
217,0.475855,16.431424,0.034740
218,0.370672,15.161472,0.037320
219,0.503642,17.190436,0.029055
