sample_id,ssim,psnr,lpips
1,0.322108,14.231544,0.035933
2,0.337044,14.241898,0.047454
3,0.369047,14.817911,0.026402
4,0.667958,19.598908,0.017694
5,0.337710,13.887589,0.038616
6,0.629011,18.828528,0.018979
7,0.488237,16.969968,0.038321
8,0.623549,19.201421,0.032904
9,0.346697,14.457951,0.070375
10,0.499672,17.641183,0.020277
11,0.519118,18.023895,0.020012
12,0.496892,16.801375,0.030187
13,0.268615,14.262438,0.041673
14,0.645783,19.559615,0.018392
15,0.549382,17.075544,0.030631
16,0.478275,17.221503,0.037807
17,0.495195,17.874482,0.035336
18,0.545524,18.675404,0.028609
19,0.570734,17.117468,0.034552
20,0.353995,15.211499,0.036572
21,0.376727,14.303847,0.031957
22,0.491525,18.016918,0.027406
23,0.346500,14.169479,0.038959
24,0.403577,15.157793,0.051467
25,0.592812,19.274957,0.032855
26,0.299306,13.343165,0.040664
27,0.546368,18.921641,0.026886
28,0.546063,16.966943,0.032471
29,0.492036,18.348401,0.031192
30,0.455183,16.144917,0.031731
31,0.503769,16.745146,0.047331
32,0.414684,16.644384,0.060081
33,0.634031,19.086093,0.018070
34,0.322244,13.635258,0.038932
35,0.408990,15.200909,0.025401
36,0.558314,18.382738,0.026401
37,0.501231,17.415558,0.041249
38,0.349364,14.894435,0.061238
39,0.487809,16.146899,0.043081
40,0.480370,17.013555,0.042933
41,0.375125,13.926373,0.027373
42,0.332997,14.484768,0.040937
43,0.367483,15.180710,0.040770
44,0.366811,14.355347,0.035721
45,0.480999,17.401274,0.022867
46,0.364515,15.144633,0.045639
47,0.617583,19.393739,0.035448
48,0.424774,16.119348,0.066287
49,0.593336,17.586721,0.040602
50,0.667547,19.142071,0.024416
51,0.578545,17.810295,0.040191
52,0.662293,19.429867,0.024857
53,0.337014,13.340625,0.040543
54,0.634594,18.547495,0.021019
55,0.386769,15.964235,0.038545
56,0.355701,14.815379,0.041433
57,0.608288,19.252301,0.025380
58,0.355366,15.600713,0.042482
59,0.337811,13.939113,0.067409
60,0.402333,15.635222,0.024781
61,0.398053,15.446938,0.031600
62,0.670600,19.585938,0.016491
63,0.366535,14.544465,0.038957
64,0.543120,17.807196,0.036302
65,0.632353,18.337644,0.036714
66,0.356469,14.277858,0.051106
67,0.650270,18.982687,0.031575
68,0.505325,17.206253,0.036002
69,0.201045,12.355703,0.072819
70,0.397681,14.832784,0.049719
71,0.577404,18.295030,0.017873
72,0.367148,15.201234,0.032466
73,0.307322,13.587329,0.044137
74,0.558596,18.027984,0.026874
75,0.516011,19.242550,0.024278
76,0.441705,16.676572,0.029284
77,0.412501,14.478260,0.029523
78,0.339758,13.577634,0.045407
79,0.326657,13.870660,0.034978
80,0.446544,16.520750,0.047892
81,0.283657,12.781131,0.056968
82,0.579010,18.433418,0.018722
83,0.368660,14.364303,0.029347
84,0.358731,14.297285,0.046982
85,0.305310,13.266010,0.027587
86,0.330990,14.346866,0.028720
87,0.538361,18.175488,0.022443
88,0.513893,17.078779,0.039413
89,0.637172,19.441631,0.022652
90,0.527929,17.003182,0.028749
91,0.350423,14.223770,0.043017
92,0.702088,19.667090,0.014799
93,0.394156,14.397024,0.040800
94,0.443781,16.846879,0.029043
95,0.597415,19.866287,0.032633
96,0.325311,15.133786,0.050110
97,0.491181,17.255620,0.034530
98,0.328672,14.862971,0.040540
99,0.589569,18.489057,0.022395
100,0.632311,19.930297,0.023027
101,0.612719,18.437177,0.034635
102,0.313349,13.605364,0.035437
103,0.257656,12.600823,0.065920
104,0.329276,14.768151,0.033041
105,0.227019,12.513205,0.051876
106,0.384567,15.055931,0.030494
107,0.329880,13.400334,0.028316
108,0.495705,17.850732,0.040303
109,0.439676,16.446146,0.048482
110,0.655715,19.240833,0.028794
111,0.455145,16.943329,0.045473
112,0.333010,14.900503,0.032633
113,0.375520,15.053403,0.032409
114,0.349679,14.334043,0.026879
115,0.391714,15.024075,0.027464
116,0.716768,19.450705,0.030647
117,0.676160,19.193365,0.017931
118,0.414095,15.134995,0.037762
119,0.446926,16.472821,0.039974
120,0.485221,17.376270,0.053856
121,0.338745,14.193563,0.035090
122,0.474007,16.431356,0.033761
123,0.631420,19.304518,0.023840
124,0.678442,19.810321,0.022055
125,0.564206,18.333325,0.035429
126,0.306619,13.515261,0.033571
127,0.311346,13.352334,0.038115
128,0.728836,20.725159,0.021806
129,0.420957,16.367827,0.030251
130,0.600120,18.352429,0.019177
131,0.560063,17.551323,0.028867
132,0.286325,13.196925,0.054553
133,0.404171,15.522879,0.036658
134,0.627213,19.449338,0.031486
135,0.284366,13.791499,0.046379
136,0.325908,13.372849,0.043124
137,0.401213,16.461769,0.040512
138,0.586380,18.445442,0.026545
139,0.683891,19.669301,0.015929
140,0.336598,14.315770,0.045808
141,0.674033,19.856141,0.019155
142,0.238047,13.027580,0.050481
143,0.439496,16.773209,0.037761
144,0.492514,17.559984,0.028337
145,0.357410,13.590495,0.045186
146,0.385519,15.436178,0.051826
147,0.284051,14.226971,0.063299
148,0.405279,15.618810,0.036266
149,0.660514,19.170429,0.034342
150,0.427367,16.087050,0.032024
151,0.476285,17.569339,0.029826
152,0.424820,16.217857,0.041966
153,0.604247,19.396923,0.026678
154,0.533415,16.725195,0.059159
155,0.414911,14.929566,0.033229
156,0.389339,15.066353,0.054985
157,0.615943,18.698503,0.039861
158,0.375650,14.243626,0.025356
159,0.577867,17.746147,0.041203
160,0.485744,16.933507,0.045861
161,0.542880,17.834777,0.023745
162,0.315821,13.694689,0.036351
163,0.606649,18.522579,0.027390
164,0.608552,19.008098,0.022490
165,0.551845,17.939491,0.024625
166,0.590659,18.628347,0.018569
167,0.365824,14.724223,0.049112
168,0.602913,18.595238,0.029326
169,0.385678,16.003036,0.061300
170,0.318966,14.061489,0.056399
171,0.496166,16.521945,0.039103
172,0.326506,15.102831,0.059019
173,0.594356,18.001906,0.024774
174,0.492410,17.843729,0.027706
175,0.415203,15.827220,0.030311
176,0.713848,19.884758,0.019107
177,0.347748,14.376564,0.052316
178,0.520697,17.441681,0.034986
179,0.510976,16.938503,0.034995
180,0.646409,19.283936,0.023014
181,0.422641,15.753180,0.049742
182,0.463363,17.595976,0.042286
183,0.469745,17.477039,0.025701
184,0.280297,14.122760,0.060820
185,0.284829,13.756153,0.055792
186,0.609062,18.300427,0.031443
187,0.389118,15.714662,0.029944
188,0.342526,14.676990,0.043775
189,0.471915,17.307275,0.042856
190,0.624535,18.679860,0.033830
191,0.240043,13.103122,0.058031
192,0.514996,18.100203,0.039731
193,0.318859,13.186501,0.033378
194,0.653338,19.341530,0.035110
195,0.572352,18.255463,0.018330
196,0.290008,13.765825,0.050139
197,0.560571,18.573463,0.037381
198,0.489846,16.425011,0.024979
199,0.524726,18.332525,0.024554
200,0.371928,14.600394,0.052157
201,0.586436,18.500335,0.021705
202,0.506466,17.311757,0.044893
203,0.446730,16.894959,0.057140
204,0.285130,13.223904,0.054929
205,0.323859,13.932297,0.043263
206,0.656533,19.189008,0.032931
