sample_id,ssim,psnr,lpips
1,0.518715,18.200566,0.041115
2,0.320506,13.737133,0.043720
3,0.374997,15.097893,0.031705
4,0.386485,14.313288,0.027757
5,0.345983,13.887983,0.040842
6,0.569114,17.638503,0.033035
7,0.280916,13.640383,0.049285
8,0.604609,18.990179,0.039903
9,0.200060,12.196202,0.070524
10,0.337359,14.544786,0.027626
11,0.606097,19.875437,0.021889
12,0.323606,13.290689,0.032249
13,0.277981,14.442451,0.043884
14,0.380020,14.319130,0.030020
15,0.609263,18.640477,0.027081
16,0.669597,19.550535,0.031940
17,0.382080,15.745723,0.038268
18,0.498782,18.120939,0.026993
19,0.542035,17.102183,0.035610
20,0.496371,18.059715,0.030325
21,0.580818,18.546873,0.027312
22,0.472207,17.506347,0.031404
23,0.572193,18.491404,0.025359
24,0.442244,16.133656,0.055736
25,0.394694,15.847855,0.040010
26,0.468529,16.282728,0.031256
27,0.596469,20.021756,0.027902
28,0.453613,15.809793,0.041129
29,0.438155,17.439193,0.029120
30,0.417457,15.809740,0.027030
31,0.492744,17.651135,0.037123
32,0.373355,16.084136,0.057393
33,0.593998,18.620422,0.021737
34,0.420904,16.502805,0.033070
35,0.560638,17.708376,0.025118
36,0.623275,18.648571,0.028130
37,0.336423,15.452074,0.042938
38,0.261522,13.227300,0.048737
39,0.417924,15.474371,0.047441
40,0.473245,16.673312,0.053244
41,0.376251,13.694027,0.034708
42,0.483194,17.511334,0.048301
43,0.452797,16.601008,0.039129
44,0.602992,19.416770,0.029091
45,0.386369,15.647837,0.031032
46,0.344184,14.769856,0.056199
47,0.609965,19.371933,0.028106
48,0.311234,14.308943,0.060479
49,0.578032,17.282938,0.040353
50,0.356866,14.570652,0.036093
51,0.594698,18.906913,0.039134
52,0.590307,18.322745,0.017852
53,0.660980,19.220040,0.026830
54,0.625926,18.518403,0.020553
55,0.384231,16.511785,0.055834
56,0.411250,15.921013,0.039431
57,0.478968,17.068247,0.027623
58,0.364527,16.169243,0.042498
59,0.293274,13.629617,0.067974
60,0.343829,14.739724,0.035503
61,0.563628,18.488412,0.021118
62,0.579513,18.323898,0.023801
63,0.574918,18.872991,0.038300
64,0.467234,16.908002,0.029019
65,0.605407,17.941665,0.043268
66,0.547214,17.650039,0.039180
67,0.562291,17.672790,0.033936
68,0.405820,16.171128,0.047578
69,0.288063,14.155786,0.063169
70,0.346020,13.675796,0.037867
71,0.662660,19.604518,0.017911
72,0.591819,19.529718,0.025426
73,0.613360,18.642475,0.035753
74,0.301036,13.652903,0.037580
75,0.436852,18.221181,0.026746
76,0.354368,13.864869,0.028599
77,0.541795,17.793247,0.028080
78,0.519833,16.530705,0.052621
79,0.531183,17.145424,0.042804
80,0.524845,16.930554,0.037979
81,0.456226,16.180577,0.041590
82,0.567001,18.557382,0.023081
83,0.410998,15.725796,0.037832
84,0.369570,14.811798,0.050394
85,0.579248,18.819141,0.016558
86,0.524785,16.420399,0.020566
87,0.375409,14.430101,0.032003
88,0.496595,16.940099,0.044198
89,0.389107,15.103284,0.037204
90,0.308830,14.278548,0.034856
91,0.547518,17.611718,0.028035
92,0.657034,19.293783,0.013805
93,0.648410,18.618692,0.034002
94,0.630551,19.408106,0.028254
95,0.568030,18.612309,0.041574
96,0.353654,16.009382,0.049136
97,0.573057,19.424534,0.022022
98,0.471540,17.858393,0.036775
99,0.649054,18.724242,0.023542
100,0.689414,21.341660,0.020054
101,0.606409,18.437178,0.033665
102,0.339871,14.211766,0.037350
103,0.335107,13.969878,0.051279
104,0.408110,16.639277,0.030712
105,0.210438,12.524223,0.061500
106,0.363025,14.482226,0.039176
107,0.322045,13.384516,0.035014
108,0.371194,15.697398,0.034114
109,0.304128,14.062459,0.042795
110,0.689126,19.464014,0.015887
111,0.532187,18.536749,0.024730
112,0.459591,17.498662,0.028860
113,0.593532,19.926450,0.021790
114,0.583952,18.405297,0.017881
115,0.557465,17.571185,0.022776
116,0.609498,18.624417,0.032158
117,0.576337,18.051143,0.022949
118,0.507166,16.969509,0.038429
119,0.446458,15.894290,0.048975
120,0.428970,16.313696,0.055820
121,0.517210,17.232974,0.043423
122,0.267455,13.114183,0.037912
123,0.586526,18.070763,0.043170
124,0.356727,14.477640,0.030952
125,0.491684,16.680581,0.045969
126,0.442117,16.264149,0.038908
127,0.448977,16.238712,0.033138
128,0.466809,16.559216,0.036276
129,0.424900,16.552466,0.032929
130,0.517374,17.721854,0.028083
131,0.314623,14.366837,0.034667
132,0.470875,16.317589,0.047998
133,0.310842,13.112253,0.033783
134,0.626632,18.927300,0.024398
135,0.609338,18.443644,0.040997
136,0.564964,17.675003,0.029560
137,0.523954,19.008263,0.034191
138,0.563662,18.341945,0.035956
139,0.575852,18.477085,0.022611
140,0.541513,19.160601,0.033831
141,0.342023,14.253403,0.039519
142,0.464633,16.467953,0.035872
143,0.499767,17.755279,0.039358
144,0.342993,14.105557,0.037594
145,0.643283,18.897847,0.027295
146,0.231756,12.673734,0.070875
147,0.233477,12.629791,0.062448
148,0.440542,16.603819,0.034876
149,0.604004,18.690006,0.041457
150,0.533848,18.107228,0.031428
151,0.555990,17.470183,0.037719
152,0.351802,14.963022,0.040985
153,0.362678,14.932883,0.033934
154,0.525929,16.578566,0.065626
155,0.588057,17.988102,0.024747
156,0.580500,17.312634,0.045165
157,0.607943,18.686317,0.038726
158,0.687236,19.674131,0.017544
159,0.359119,13.624406,0.068144
160,0.309772,13.769505,0.063362
161,0.564228,18.131899,0.021783
162,0.324220,13.528377,0.041106
163,0.557967,18.068667,0.033378
164,0.492311,17.557413,0.029633
165,0.576260,18.167805,0.025003
166,0.362690,14.781660,0.031765
167,0.487514,16.483483,0.043814
168,0.395006,15.015182,0.031635
169,0.476452,17.180879,0.050289
170,0.288485,13.660918,0.052357
171,0.347154,13.852066,0.047992
172,0.364332,15.855619,0.037872
173,0.333721,13.694910,0.033281
174,0.384925,15.557326,0.029634
175,0.434652,16.214853,0.033043
176,0.377052,14.516606,0.029221
177,0.337365,13.564625,0.052391
178,0.331603,13.710432,0.049480
179,0.601221,18.826748,0.030998
180,0.378583,14.710695,0.031834
181,0.447177,15.887421,0.029514
182,0.390568,16.428732,0.041047
183,0.326393,14.724254,0.036332
184,0.202495,12.812408,0.062574
185,0.390467,13.724509,0.060885
186,0.468595,16.584959,0.031457
187,0.399873,15.511879,0.033182
188,0.391377,15.203335,0.034276
189,0.376545,15.981463,0.050187
190,0.384932,14.591573,0.036637
191,0.415538,16.029560,0.041001
192,0.337284,15.095021,0.041631
193,0.581496,17.722197,0.019179
194,0.435398,16.287503,0.040315
195,0.719606,19.739030,0.019920
196,0.513809,17.139905,0.047585
197,0.605475,19.318117,0.036907
198,0.466924,16.795637,0.022661
199,0.514371,18.233347,0.028389
200,0.606338,18.781162,0.036979
201,0.572972,18.382589,0.023663
202,0.303226,15.226189,0.061832
203,0.509680,17.805250,0.061658
204,0.253280,12.714457,0.066443
205,0.532037,17.639015,0.045565
206,0.561481,18.685314,0.044844
207,0.513785,17.203501,0.033962
208,0.638002,19.232990,0.026712
209,0.366221,14.163576,0.043411
210,0.279555,13.353518,0.044495
211,0.328224,13.757942,0.043276
212,0.469977,16.192850,0.027055
213,0.286451,14.483932,0.071840
214,0.504115,17.832893,0.038654
215,0.348937,14.452645,0.055188
216,0.544562,17.282483,0.041870
217,0.468632,16.481176,0.049308
218,0.483001,18.007459,0.040745
219,0.316623,14.648854,0.037950
220,0.378335,15.565993,0.041526
221,0.442354,16.409839,0.049786
222,0.366706,14.550253,0.036677
223,0.559105,18.224557,0.020173
224,0.497702,16.829276,0.022989
225,0.579493,17.925485,0.025046
226,0.421160,16.608002,0.033960
227,0.549259,18.113486,0.036578
228,0.385176,15.465549,0.045316
229,0.461723,16.110726,0.039967
230,0.521135,18.226025,0.035236
231,0.316156,14.438435,0.044649
232,0.486837,17.401591,0.024129
233,0.514966,17.242809,0.033277
234,0.564239,18.112129,0.030293
235,0.508293,16.459538,0.043356
236,0.544114,18.723796,0.038439
237,0.386586,15.356915,0.034403
238,0.380688,14.509304,0.033790
239,0.574073,18.462262,0.039841
240,0.407801,15.395373,0.049243
241,0.476751,16.824712,0.048326
242,0.511438,17.418361,0.028197
243,0.582311,17.894678,0.042078
244,0.543528,17.206942,0.028604
245,0.352330,14.292134,0.038306
246,0.587722,17.407846,0.044499
247,0.570425,17.634729,0.021473
248,0.454020,17.082399,0.030190
249,0.359805,15.346402,0.027170
250,0.396408,14.717108,0.033392
251,0.391975,15.860499,0.042048
252,0.343905,14.353885,0.036164
253,0.265519,13.193521,0.073702
254,0.464748,16.413090,0.052329
255,0.460523,16.438643,0.043184
256,0.368243,14.263059,0.030531
257,0.620046,19.562492,0.032020
258,0.609668,19.579442,0.035701
259,0.370544,15.594325,0.053301
260,0.441718,15.892804,0.040901
261,0.584664,18.271848,0.016449
262,0.585847,18.885787,0.035305
263,0.264750,13.648933,0.066464
264,0.530445,17.473321,0.026854
265,0.423135,16.327170,0.045711
266,0.590361,17.707967,0.028335
267,0.485408,17.138270,0.034950
268,0.502189,16.529887,0.036594
269,0.521424,17.610304,0.063281
270,0.466106,15.935279,0.029719
271,0.511973,16.804309,0.046515
272,0.589724,18.147607,0.036568
273,0.658495,19.110935,0.029596
274,0.636526,19.587944,0.026072
275,0.404065,16.101802,0.023093
276,0.373233,15.496879,0.035091
277,0.525592,16.715239,0.032968
278,0.480563,16.971912,0.044737
279,0.564601,17.754439,0.021385
280,0.516359,17.660724,0.035177
281,0.628221,19.105512,0.031341
282,0.545156,17.275969,0.034858
