sample_id,ssim,psnr,lpips
1,0.543537,18.521055,0.041884
2,0.320484,13.752089,0.043258
3,0.452045,16.919255,0.021582
4,0.389146,14.366787,0.026956
5,0.353176,14.015054,0.040691
6,0.578557,17.830061,0.032883
7,0.281475,13.670107,0.049350
8,0.612178,19.115307,0.039701
9,0.200961,12.248366,0.070538
10,0.337850,14.582289,0.028347
11,0.616264,20.079532,0.020915
12,0.331123,13.467635,0.032633
13,0.281525,14.550305,0.044023
14,0.389703,14.496142,0.029607
15,0.604415,18.631280,0.025923
16,0.671285,19.587252,0.032173
17,0.387800,15.875103,0.036327
18,0.502851,18.202730,0.025820
19,0.550197,17.235618,0.035142
20,0.503093,18.174683,0.030055
21,0.577536,18.592771,0.026937
22,0.475115,17.604543,0.032899
23,0.568699,18.490830,0.025276
24,0.446525,16.220532,0.057409
25,0.402288,15.976213,0.039606
26,0.466645,16.296268,0.031132
27,0.600567,20.108124,0.026672
28,0.449926,15.760947,0.041391
29,0.440980,17.546387,0.029876
30,0.418115,15.834046,0.026527
31,0.489424,17.656200,0.036184
32,0.371774,16.076378,0.056878
33,0.590785,18.612830,0.022535
34,0.419416,16.503285,0.033094
35,0.561005,17.749675,0.023993
36,0.624316,18.675175,0.028116
37,0.341450,15.597450,0.043050
38,0.262357,13.244557,0.049440
39,0.421193,15.530713,0.048578
40,0.472158,16.685289,0.052390
41,0.380829,13.801888,0.034278
42,0.491983,17.699183,0.050202
43,0.454546,16.653226,0.039901
44,0.601659,19.470541,0.026481
45,0.572430,18.826060,0.026964
46,0.350656,14.884804,0.054669
47,0.612075,19.434279,0.028269
48,0.314771,14.398103,0.060191
49,0.581057,17.362829,0.041787
50,0.372500,14.825484,0.035632
51,0.598126,18.969994,0.038513
52,0.595482,18.481557,0.017687
53,0.659611,19.211110,0.026646
54,0.629254,18.591006,0.019859
55,0.398928,16.772883,0.055873
56,0.447179,16.600168,0.042123
57,0.487750,17.226998,0.027347
58,0.390200,16.633664,0.039731
59,0.293949,13.626995,0.067085
60,0.350662,14.853892,0.034392
61,0.566759,18.592892,0.020243
62,0.582480,18.375579,0.025011
63,0.573567,18.858811,0.038033
64,0.465360,16.908823,0.028479
65,0.608825,18.006893,0.043580
66,0.548099,17.709671,0.039348
67,0.564745,17.711593,0.033773
68,0.405691,16.173056,0.047149
69,0.316931,14.368961,0.058233
70,0.345612,13.703967,0.035835
71,0.660450,19.608819,0.018686
72,0.592258,19.607034,0.025260
73,0.616553,18.700679,0.034487
74,0.300889,13.686889,0.037646
75,0.441902,18.369511,0.025868
76,0.354583,13.890230,0.028718
77,0.538551,17.776529,0.026971
78,0.522830,16.576533,0.050729
79,0.533788,17.201477,0.042273
80,0.525672,16.963330,0.038473
81,0.461937,16.272389,0.039819
82,0.568474,18.647753,0.023034
83,0.411492,15.742709,0.037169
84,0.368130,14.819329,0.050065
85,0.571988,18.773609,0.016262
86,0.530722,16.579796,0.019679
87,0.381684,14.604823,0.031627
88,0.499243,16.988688,0.042876
89,0.387526,15.056815,0.036130
90,0.317818,14.483656,0.034765
91,0.551980,17.697347,0.027661
92,0.656759,19.353429,0.013871
93,0.646554,18.644531,0.033856
94,0.629785,19.441201,0.027003
95,0.572937,18.710408,0.039766
96,0.359765,16.157884,0.049109
97,0.585464,19.617459,0.021473
98,0.479292,18.002089,0.036085
99,0.650242,18.770657,0.022907
100,0.691155,21.399819,0.019798
101,0.611891,18.533343,0.033024
102,0.343226,14.281726,0.036966
103,0.332943,13.922793,0.051572
104,0.424101,16.992164,0.030517
105,0.210728,12.534179,0.061567
106,0.366811,14.539514,0.036905
107,0.323685,13.430875,0.034539
108,0.375189,15.798612,0.033602
109,0.302725,14.053294,0.041696
110,0.689747,19.496771,0.016191
111,0.536204,18.593390,0.023974
112,0.463824,17.634357,0.028293
113,0.599018,20.006442,0.020810
114,0.588230,18.472904,0.018135
115,0.557600,17.594863,0.023737
116,0.608718,18.623371,0.031504
117,0.574773,18.071812,0.022467
118,0.528722,17.286934,0.038576
119,0.445638,15.890018,0.047407
120,0.432572,16.403260,0.056550
121,0.514317,17.233215,0.042651
122,0.268264,13.131843,0.037459
123,0.587545,18.106293,0.041051
124,0.359812,14.545026,0.031282
125,0.496058,16.792001,0.047971
126,0.439708,16.248053,0.039136
127,0.450603,16.268087,0.032655
128,0.508532,17.248580,0.030747
129,0.473855,17.299289,0.031666
130,0.516129,17.724073,0.027401
131,0.316100,14.416184,0.034120
132,0.471793,16.333614,0.047042
133,0.312444,13.142189,0.033975
134,0.626642,18.970338,0.022772
135,0.607322,18.460874,0.041741
136,0.565611,17.723976,0.029216
137,0.526495,19.052505,0.034045
138,0.571649,18.477811,0.035309
139,0.576385,18.496494,0.022746
140,0.543851,19.217043,0.033563
141,0.533256,17.236470,0.033132
142,0.462431,16.470226,0.034799
143,0.507199,17.856084,0.039528
144,0.345156,14.141718,0.038084
145,0.646774,18.988227,0.027627
146,0.231152,12.688413,0.069591
147,0.233428,12.635869,0.059980
148,0.443655,16.642505,0.033374
149,0.607702,18.755258,0.040886
150,0.540433,18.205568,0.031327
151,0.549948,17.403237,0.037195
152,0.357172,15.091220,0.040437
153,0.363029,14.949248,0.034543
154,0.523730,16.566562,0.066847
155,0.587822,18.016907,0.024518
156,0.581424,17.355285,0.044007
157,0.609633,18.751355,0.038278
158,0.690631,19.754181,0.018139
159,0.374892,14.122398,0.062249
160,0.311747,13.850253,0.061440
161,0.571546,18.252666,0.021101
162,0.325566,13.573164,0.042646
163,0.566553,18.210946,0.031569
164,0.371444,15.338481,0.034439
165,0.578130,18.271922,0.026306
166,0.366568,14.899022,0.031487
167,0.490732,16.544501,0.045264
168,0.400863,15.105424,0.030134
169,0.480493,17.265619,0.051932
170,0.295124,13.821736,0.052705
171,0.347298,13.866495,0.047115
172,0.367906,15.928986,0.035626
173,0.337846,13.816252,0.033897
174,0.388555,15.619837,0.028182
175,0.435513,16.222389,0.033215
176,0.380443,14.616982,0.030763
177,0.337557,13.643952,0.049984
178,0.331027,13.721619,0.049356
179,0.600220,18.828599,0.030901
180,0.380786,14.762359,0.032681
181,0.449774,15.945808,0.030602
182,0.395511,16.514972,0.039892
183,0.330070,14.767540,0.036431
184,0.202893,12.826662,0.061588
