sample_id,ssim,psnr,lpips
1,0.138623,10.979096,0.192174
2,0.148218,11.358852,0.129538
3,0.151983,11.057052,0.114122
4,0.117038,10.282889,0.151107
5,0.127170,11.115195,0.128166
6,0.096492,10.145873,0.144634
7,0.156756,11.279936,0.143670
8,0.129093,10.820507,0.161318
9,0.046223,8.725114,0.166976
10,0.106903,10.619868,0.157037
11,0.171690,11.920195,0.156477
12,0.136172,10.646976,0.183117
13,0.090150,11.279078,0.116303
14,0.164921,11.364243,0.143490
15,0.116096,10.517457,0.161886
16,0.192896,11.513199,0.141847
17,0.154833,11.776112,0.130476
18,0.121623,11.283150,0.149807
19,0.228426,11.444184,0.109835
20,0.174863,11.376553,0.145966
21,0.138948,10.732893,0.139418
22,0.079981,10.362983,0.162584
23,0.135433,10.807053,0.155100
24,0.085963,9.435646,0.153860
25,0.111371,10.797952,0.153587
26,0.091887,10.141937,0.137669
27,0.173089,11.349473,0.133379
28,0.123087,10.618603,0.147090
29,0.203011,12.413378,0.110998
30,0.135097,10.549066,0.176552
31,0.222929,11.959362,0.141382
32,0.122128,10.847431,0.160919
33,0.127057,10.131253,0.179569
34,0.218972,12.516864,0.102546
35,0.148756,10.276673,0.165152
36,0.161799,10.902496,0.145866
37,0.193837,12.154499,0.119783
38,0.250370,11.951610,0.100807
39,0.130932,10.454922,0.155098
40,0.132755,10.370718,0.115042
41,0.128194,11.121998,0.140527
42,0.082825,10.042497,0.098958
43,0.130698,11.176886,0.132228
44,0.131666,10.173338,0.166799
45,0.142732,10.987862,0.145556
46,0.164353,10.931508,0.158496
47,0.239632,12.077173,0.097416
48,0.190497,11.888764,0.129083
49,0.121492,10.654142,0.106110
50,0.081691,10.326988,0.182047
51,0.137079,10.825084,0.125921
52,0.159819,11.054910,0.135984
53,0.124653,10.503925,0.189526
54,0.129279,10.579973,0.148779
55,0.156388,11.053975,0.141428
56,0.106811,11.287824,0.124473
57,0.125382,11.333938,0.139221
58,0.156765,11.473315,0.141351
59,0.109371,10.489265,0.110660
60,0.171906,11.552929,0.159284
61,0.162515,11.455200,0.149684
62,0.104170,10.685886,0.132108
63,0.154831,11.328122,0.168335
64,0.155139,11.051776,0.170331
65,0.091930,9.716483,0.156100
66,0.116157,10.378104,0.135442
67,0.089795,10.594005,0.154165
68,0.208685,12.009909,0.119196
69,0.175417,11.752537,0.101395
70,0.123275,9.952119,0.160462
71,0.123169,10.746428,0.131487
72,0.152931,10.994669,0.143670
73,0.214031,11.925647,0.120302
74,0.177203,11.585842,0.130665
75,0.117574,10.701479,0.176331
76,0.180544,11.145187,0.134108
77,0.124759,10.625997,0.157667
78,0.212482,11.688228,0.151550
79,0.193247,11.301640,0.156780
80,0.130986,11.131967,0.133579
81,0.136540,10.813479,0.130352
82,0.132010,11.026064,0.133525
83,0.175516,11.222859,0.147677
84,0.150720,10.994436,0.099486
85,0.139477,10.752961,0.153767
86,0.130090,11.060023,0.121820
87,0.081357,10.143072,0.159076
88,0.123280,10.500093,0.203982
89,0.132215,10.565369,0.158597
90,0.182529,11.170591,0.107186
91,0.147314,10.554985,0.160194
92,0.167293,10.725771,0.142054
93,0.144589,10.896110,0.146578
94,0.141644,10.008086,0.147860
95,0.149602,11.140501,0.151344
96,0.182095,11.780829,0.129109
97,0.157556,11.568106,0.141561
98,0.116546,10.207912,0.157022
99,0.151609,10.920205,0.145849
100,0.177289,11.804125,0.132660
101,0.099968,10.005200,0.177165
102,0.188633,11.624115,0.145822
103,0.136533,10.271690,0.134900
104,0.188753,11.874282,0.117507
105,0.160920,11.367485,0.110768
106,0.191521,11.989139,0.129005
107,0.167048,11.211939,0.124292
108,0.116175,10.929283,0.155003
109,0.184711,11.623755,0.155594
110,0.099142,10.370075,0.162496
111,0.102029,11.131568,0.157516
112,0.199472,11.691768,0.136068
113,0.198778,11.706682,0.161212
114,0.182608,11.418203,0.132473
115,0.073778,9.758199,0.158589
116,0.171332,10.680779,0.163045
117,0.193587,11.305376,0.128739
118,0.102045,10.076838,0.147991
119,0.164984,11.122279,0.133094
120,0.122615,10.942346,0.113083
121,0.155086,11.128172,0.153463
122,0.139683,10.690164,0.093023
123,0.121975,10.926507,0.158125
124,0.097302,10.509258,0.142243
125,0.095804,9.585950,0.144715
126,0.107007,9.602421,0.158513
127,0.109813,10.667409,0.165655
128,0.147746,11.206277,0.108278
129,0.159404,10.773148,0.168892
130,0.192820,11.164695,0.143346
131,0.150903,11.281968,0.133276
132,0.179856,10.819914,0.134968
133,0.149529,10.771807,0.121471
134,0.189600,11.880463,0.158041
135,0.194827,11.599936,0.109149
136,0.139938,10.780464,0.165263
137,0.188954,11.654990,0.107044
138,0.087489,10.391440,0.142455
139,0.143681,10.827319,0.140772
140,0.164116,11.399347,0.179094
141,0.092403,10.173744,0.143442
142,0.150101,10.807405,0.121773
143,0.163316,11.447955,0.131698
144,0.115513,10.440520,0.168697
145,0.122880,10.053124,0.189792
146,0.178598,11.283111,0.141511
147,0.151223,10.950624,0.136132
148,0.154958,11.001620,0.193433
149,0.141349,10.705789,0.164098
150,0.159325,11.333681,0.163792
151,0.126276,10.611105,0.133254
152,0.101521,10.724569,0.134470
153,0.204185,12.043117,0.095100
154,0.115102,10.314949,0.179310
155,0.115808,10.377264,0.149971
156,0.139189,10.473407,0.216178
157,0.125333,10.271187,0.174850
158,0.149604,11.010802,0.135334
159,0.129783,10.351907,0.198893
160,0.135371,10.476554,0.202972
161,0.128333,10.508692,0.154337
162,0.151157,11.138345,0.100808
163,0.156479,10.645145,0.166050
164,0.129844,10.948968,0.161955
165,0.130160,10.445572,0.143272
166,0.203047,11.626341,0.124627
167,0.167675,11.224717,0.123915
168,0.143078,10.537759,0.166465
169,0.190756,11.668298,0.098471
170,0.202252,11.828111,0.107718
171,0.095567,10.273511,0.156215
172,0.134963,10.220340,0.200218
173,0.151807,11.107796,0.141125
174,0.202100,11.658390,0.150966
175,0.167148,11.070577,0.153405
176,0.102111,10.235197,0.147303
177,0.087173,9.647589,0.180149
178,0.153036,10.380183,0.114046
179,0.094873,10.177806,0.165637
180,0.139624,10.795604,0.131220
181,0.257977,11.904556,0.108491
182,0.105372,10.292466,0.195622
183,0.156673,11.457253,0.137641
184,0.142371,11.324894,0.106129
185,0.140687,10.567778,0.175023
186,0.178353,11.004652,0.159037
187,0.247743,12.609990,0.123395
188,0.113410,10.999440,0.179130
189,0.112110,10.660034,0.182229
190,0.174820,10.370497,0.170416
191,0.115506,11.115510,0.117096
192,0.150710,10.729273,0.163013
193,0.168557,11.059943,0.137421
194,0.135158,10.499180,0.187380
195,0.094487,10.083366,0.155438
196,0.149035,11.105319,0.155465
197,0.119704,10.544950,0.177560
198,0.164824,10.997510,0.133032
199,0.191355,11.883220,0.142625
200,0.110633,10.521147,0.151117
201,0.144154,10.992807,0.138636
202,0.167090,11.637476,0.152853
203,0.122111,11.559225,0.153156
204,0.108107,10.283612,0.146057
205,0.104460,9.852783,0.179846
206,0.187877,11.581204,0.121950
207,0.179781,11.420994,0.095368
208,0.129392,10.016680,0.147338
209,0.107162,9.792789,0.184890
210,0.132538,10.150275,0.180581
211,0.140302,10.569409,0.136286
212,0.123875,10.256356,0.178688
213,0.146954,11.849990,0.095712
214,0.084522,10.695453,0.141182
215,0.174402,12.048157,0.118682
216,0.128751,10.180262,0.113334
217,0.146246,11.334114,0.161919
218,0.143168,11.079103,0.125630
219,0.196917,11.718186,0.132703
220,0.099407,10.665075,0.183184
221,0.181387,11.409344,0.105238
222,0.120443,10.640096,0.171324
223,0.136482,11.277128,0.152019
224,0.194790,11.370690,0.142469
225,0.130268,10.706732,0.161048
226,0.181421,11.189983,0.154868
227,0.177974,11.070630,0.115165
228,0.141236,11.091724,0.170241
229,0.198205,11.575754,0.096275
230,0.187935,11.280474,0.160878
231,0.153842,11.709341,0.131788
232,0.161627,11.646889,0.139003
233,0.127247,10.582938,0.151815
234,0.162275,11.113647,0.160490
235,0.099495,10.260834,0.139029
236,0.121694,11.686839,0.176115
237,0.112310,10.043658,0.154303
238,0.203711,11.256858,0.142998
239,0.214615,11.754673,0.153273
240,0.150937,11.095845,0.114060
241,0.106900,10.387394,0.134095
242,0.131838,10.766074,0.128538
243,0.188945,10.370955,0.143433
244,0.039561,9.079307,0.186864
245,0.130639,10.746496,0.165333
246,0.126655,9.755236,0.147268
247,0.109454,10.487637,0.152936
248,0.154706,11.545307,0.152276
249,0.127083,10.779247,0.133988
250,0.112215,10.349348,0.134087
251,0.158583,11.351142,0.139471
252,0.130877,10.687310,0.107992
253,0.119548,10.570338,0.147266
254,0.141987,10.566389,0.120469
255,0.114715,10.145210,0.124229
256,0.099110,10.300474,0.138821
257,0.205325,12.649316,0.111842
258,0.180332,11.690190,0.107684
259,0.127361,11.086474,0.173124
260,0.136617,10.455096,0.167604
261,0.098711,10.123137,0.148746
262,0.107888,10.876238,0.145488
263,0.197150,12.326840,0.104295
264,0.150224,10.349512,0.169154
265,0.088771,9.900860,0.233019
266,0.144806,10.977688,0.137684
267,0.145138,11.318619,0.110498
268,0.123557,11.058791,0.147655
269,0.130636,10.692860,0.136423
270,0.171658,11.472003,0.101957
271,0.119561,9.904038,0.201596
272,0.120168,10.758021,0.143401
273,0.184967,11.728544,0.175824
274,0.181622,10.917656,0.140764
275,0.247116,12.650085,0.114159
276,0.166740,11.714457,0.119276
277,0.133440,10.974699,0.126959
278,0.147613,11.780319,0.128949
279,0.160616,10.760308,0.157885
280,0.188675,12.003358,0.128171
281,0.118568,10.399714,0.105004
282,0.206395,12.148928,0.150035
283,0.097146,9.515231,0.170941
284,0.172185,10.842915,0.139326
285,0.116037,11.155107,0.126725
286,0.124836,9.993946,0.120166
287,0.114546,10.433094,0.157051
288,0.143670,10.795867,0.173067
289,0.153088,10.441115,0.134354
290,0.115542,9.687792,0.155981
291,0.097729,9.687234,0.154759
292,0.205109,11.634209,0.154183
293,0.163938,11.117948,0.129545
294,0.130445,10.250105,0.143786
295,0.117211,11.291653,0.150522
296,0.157381,11.002774,0.159742
297,0.152121,11.364587,0.095054
298,0.127641,10.581965,0.160773
299,0.147146,10.476783,0.146999
300,0.120176,10.557222,0.168842
301,0.142244,10.228648,0.173119
302,0.130326,10.353254,0.165358
303,0.114386,10.250516,0.192184
304,0.181759,11.607366,0.106159
305,0.153110,10.411974,0.152526
306,0.183746,11.337731,0.119242
307,0.160498,11.238371,0.113354
308,0.130537,10.398805,0.160566
309,0.117382,10.074284,0.160776
310,0.141467,10.884313,0.147219
311,0.087936,10.180579,0.209964
312,0.142827,11.284845,0.130465
313,0.095528,11.187589,0.146738
314,0.158885,11.146287,0.143872
315,0.165540,10.889416,0.120873
316,0.140818,11.551098,0.128998
317,0.123994,11.242569,0.116463
318,0.110435,9.971743,0.189848
319,0.148864,11.308609,0.164593
320,0.164496,11.866972,0.112219
321,0.129710,11.117403,0.157229
322,0.118018,11.194490,0.180928
323,0.134804,9.891151,0.174755
324,0.105343,10.851622,0.135863
325,0.133879,10.774200,0.126696
326,0.109009,11.160540,0.123003
327,0.195109,11.885942,0.113656
328,0.169768,10.961564,0.134403
329,0.221531,11.616524,0.123040
330,0.165847,11.095692,0.154221
331,0.125629,10.469184,0.135247
332,0.154718,10.752673,0.132890
333,0.133228,11.270268,0.152458
334,0.167409,11.029259,0.144144
335,0.152265,11.115004,0.142599
336,0.117616,10.368823,0.135266
337,0.129430,10.530547,0.155885
338,0.206005,11.961372,0.086213
339,0.141705,11.008666,0.131333
340,0.128955,10.614957,0.201569
341,0.152652,10.695302,0.132318
342,0.169820,11.467303,0.091953
343,0.192704,11.790579,0.134847
344,0.169908,10.952723,0.126557
345,0.130175,10.863431,0.143866
346,0.098364,10.631545,0.177232
347,0.119591,10.807770,0.156491
348,0.122687,10.103963,0.157939
349,0.142363,10.992510,0.100681
350,0.111071,11.088757,0.143334
351,0.100446,9.735764,0.200521
352,0.087000,9.568334,0.173676
353,0.181854,12.168953,0.110688
354,0.120383,10.199248,0.190877
355,0.208508,11.197629,0.153930
356,0.129692,11.008449,0.124253
357,0.208014,12.044303,0.123513
358,0.134386,11.007260,0.130098
359,0.125048,11.239473,0.159848
360,0.128563,11.065836,0.113411
361,0.122701,11.110532,0.158164
362,0.081760,9.925285,0.173028
363,0.225310,12.333123,0.116992
364,0.127701,10.625206,0.159651
365,0.096506,10.093114,0.153374
366,0.198183,11.554137,0.146415
367,0.065115,9.392842,0.194818
368,0.147378,11.053770,0.162027
369,0.155966,11.244049,0.090553
370,0.167842,11.374608,0.133768
371,0.098380,10.096132,0.158712
372,0.206617,11.953775,0.184076
373,0.097729,10.361163,0.145618
374,0.116969,11.088719,0.123048
375,0.233153,11.624950,0.133177
376,0.146312,10.949461,0.138578
377,0.129309,11.039648,0.134346
378,0.125932,10.146666,0.134298
379,0.107059,9.893026,0.161525
380,0.154025,11.157644,0.129226
