sample_id,ssim,psnr,lpips
1,0.226820,12.389475,0.134606
2,0.228554,12.997016,0.070317
3,0.334405,13.953795,0.082094
4,0.203560,11.873465,0.103298
5,0.223041,12.887894,0.089368
6,0.176920,11.724783,0.078938
7,0.218326,12.916043,0.074555
8,0.238031,13.526168,0.062765
9,0.072047,8.961455,0.133884
10,0.208795,12.744164,0.109083
11,0.383774,14.727043,0.098502
12,0.211045,12.051111,0.107677
13,0.185976,13.037560,0.099842
14,0.246700,13.203080,0.108171
15,0.208408,12.216930,0.114820
16,0.331490,14.224397,0.093297
17,0.268830,13.504493,0.064349
18,0.272670,13.328130,0.072415
19,0.233355,12.420994,0.130528
20,0.279975,14.323142,0.067187
21,0.235236,12.690919,0.053398
22,0.221305,13.486085,0.107672
23,0.178318,11.684430,0.092279
24,0.135463,10.432900,0.100462
25,0.171958,12.464511,0.102589
26,0.146103,10.919267,0.087232
27,0.305217,14.167601,0.045101
28,0.226689,12.190727,0.071166
29,0.275582,14.582059,0.070641
30,0.209512,12.211512,0.083199
31,0.238433,12.879686,0.083139
32,0.142736,11.807504,0.081423
33,0.206714,12.360767,0.078623
34,0.342771,14.715520,0.066693
35,0.266127,12.512966,0.106831
36,0.262668,12.461889,0.120343
37,0.385562,15.563382,0.039784
38,0.317937,13.432492,0.092463
39,0.236086,12.452689,0.133724
40,0.174223,11.836549,0.087174
41,0.236144,13.312745,0.095408
42,0.217213,12.428509,0.062077
43,0.198285,12.439030,0.101856
44,0.186568,11.143416,0.094398
45,0.225837,12.775242,0.082069
46,0.339512,14.195873,0.073072
47,0.272235,13.308748,0.089633
48,0.307496,13.804705,0.075256
49,0.293030,13.749201,0.072692
50,0.214165,11.788078,0.090448
51,0.245977,13.080087,0.112451
52,0.225232,12.673988,0.086879
53,0.226012,12.730107,0.068876
54,0.175107,12.080339,0.104575
55,0.233657,12.847866,0.072466
56,0.242505,13.722829,0.084344
57,0.352495,15.187742,0.086394
58,0.340071,13.947084,0.060854
59,0.152301,11.357097,0.069117
60,0.248495,13.579654,0.085783
61,0.346913,15.012402,0.081717
62,0.216589,12.463335,0.112854
63,0.223314,13.181675,0.073403
64,0.306813,13.360258,0.075344
65,0.198115,11.885641,0.085214
66,0.238137,12.765948,0.100945
67,0.285998,13.748459,0.117965
68,0.305804,14.251741,0.062012
