sample_id,ssim,psnr,lpips
1,0.103258,9.784678,0.183181
2,0.196369,11.438819,0.108323
3,0.152322,11.590450,0.109366
4,0.165771,10.668340,0.141421
5,0.145778,10.950176,0.114244
6,0.168744,11.177401,0.133285
7,0.167240,11.670285,0.135212
8,0.109703,10.324837,0.166868
9,0.076425,9.440714,0.171885
10,0.137416,11.355610,0.147782
11,0.187552,11.676716,0.146559
12,0.081495,9.836987,0.175845
13,0.144233,11.933773,0.104993
14,0.203177,11.507820,0.135966
15,0.134306,10.547012,0.167075
16,0.100617,10.364503,0.156005
17,0.149439,11.602128,0.140309
18,0.203754,11.366079,0.151744
19,0.124521,10.755248,0.140553
20,0.155347,10.917376,0.140332
21,0.142299,11.029099,0.135213
22,0.067661,10.757275,0.108069
23,0.193935,12.002753,0.135714
24,0.153735,10.968141,0.117865
25,0.160876,11.119659,0.168815
26,0.152558,11.186534,0.129108
27,0.141026,11.251277,0.135920
28,0.097514,9.923772,0.177660
29,0.121621,10.940510,0.132885
30,0.101342,10.395103,0.154379
31,0.109433,9.958234,0.179747
32,0.165444,11.693127,0.171985
33,0.138363,10.891481,0.152201
34,0.129815,10.711088,0.109020
35,0.136805,11.106146,0.126746
36,0.117520,10.541206,0.151498
37,0.197975,11.366360,0.146057
38,0.088475,9.361383,0.131067
39,0.166731,10.506148,0.127062
40,0.141490,11.607352,0.119441
41,0.182047,10.783724,0.107062
42,0.148775,10.943316,0.110520
43,0.155711,11.537432,0.143100
44,0.153988,11.480463,0.157935
45,0.191940,11.720655,0.126604
46,0.103376,10.149218,0.175202
47,0.152572,11.228963,0.128820
48,0.094992,10.493387,0.140871
49,0.157862,11.130225,0.111778
50,0.108622,10.450533,0.153653
51,0.071575,9.722620,0.140168
52,0.101799,10.564457,0.137129
53,0.167154,11.635535,0.161981
54,0.158713,10.904444,0.160954
55,0.066540,10.411585,0.153870
56,0.199130,11.915614,0.123528
57,0.158966,11.306605,0.135452
58,0.204091,12.471666,0.115038
59,0.138604,11.312554,0.093000
60,0.129486,11.419829,0.137825
61,0.238970,11.880788,0.110022
62,0.168198,10.988064,0.123365
63,0.165890,11.670329,0.135680
64,0.087374,9.626875,0.211140
65,0.140985,10.263647,0.139476
66,0.061582,9.136908,0.158865
67,0.108944,10.539708,0.153737
68,0.093665,9.968246,0.143392
69,0.118085,10.800461,0.101001
70,0.138391,11.055951,0.137594
71,0.232865,12.564189,0.103524
72,0.148650,11.189494,0.168700
73,0.199233,11.952826,0.100940
74,0.110660,10.375382,0.121509
75,0.122854,10.368731,0.182249
76,0.211035,11.986031,0.116429
77,0.130255,10.299828,0.157728
78,0.147803,10.841103,0.169674
79,0.166949,11.767605,0.154934
80,0.271667,12.436238,0.090299
81,0.092031,9.732809,0.149033
82,0.134554,10.527482,0.136790
83,0.129744,11.104720,0.132614
84,0.113476,10.160218,0.090051
85,0.103404,10.659224,0.145226
86,0.129850,10.270338,0.129584
87,0.143461,10.768207,0.125643
88,0.189514,10.951784,0.154631
89,0.235975,11.908438,0.126149
90,0.146807,11.236938,0.136004
91,0.151240,11.248626,0.139788
92,0.088162,10.418840,0.142841
93,0.132145,10.478435,0.169936
94,0.128796,10.752405,0.173719
95,0.177315,11.566324,0.159276
96,0.127203,11.706593,0.132015
97,0.173877,11.245842,0.122847
98,0.113838,11.470559,0.160277
99,0.146913,10.886040,0.155231
100,0.164666,11.224079,0.156191
101,0.142990,10.247060,0.166606
102,0.143056,11.167306,0.171398
103,0.169165,11.201285,0.131539
104,0.119957,11.310077,0.126993
105,0.131371,10.795832,0.117062
106,0.184411,11.890138,0.137110
107,0.112884,10.011896,0.134376
108,0.163465,11.307593,0.149587
109,0.110291,11.107032,0.151586
110,0.231375,12.096710,0.135437
111,0.168565,11.934363,0.132819
112,0.150981,10.824401,0.123831
113,0.138454,11.273748,0.144845
114,0.191157,11.395954,0.111318
115,0.202879,11.799101,0.132789
116,0.145441,11.173576,0.153743
117,0.101443,10.036023,0.158555
118,0.124019,10.689985,0.144658
119,0.124852,10.646111,0.148874
120,0.225493,12.278234,0.097750
121,0.148629,11.040278,0.150935
122,0.124662,10.974475,0.131748
123,0.123605,10.890093,0.160361
124,0.119746,10.852699,0.144562
125,0.165198,11.564727,0.110990
126,0.123300,10.594149,0.137400
127,0.157549,10.751320,0.155440
128,0.151453,11.177429,0.141252
129,0.077198,10.423777,0.183874
130,0.130383,10.953384,0.170003
131,0.130034,10.801526,0.130366
132,0.165869,11.366117,0.093311
133,0.153459,10.278904,0.149539
134,0.160855,10.767372,0.164201
135,0.212485,11.765108,0.081813
136,0.125883,10.189110,0.131098
137,0.156636,11.608755,0.122554
138,0.194543,11.094941,0.121780
139,0.149482,11.303433,0.136503
140,0.107037,10.481827,0.174080
141,0.164107,11.162794,0.134008
142,0.163083,11.338857,0.115225
143,0.099945,10.498457,0.149651
144,0.155664,11.379611,0.130741
145,0.138365,10.251613,0.169416
146,0.131088,10.573840,0.142807
147,0.147531,10.749495,0.136632
148,0.205449,12.108819,0.143611
149,0.154794,11.125194,0.152429
150,0.136394,11.314240,0.128211
151,0.229983,11.930390,0.119553
152,0.102968,10.358144,0.160481
153,0.118621,10.809940,0.135200
154,0.188375,10.782799,0.169575
155,0.185968,11.248640,0.142962
156,0.140101,10.583295,0.183759
157,0.083496,9.652223,0.193210
158,0.169129,10.919314,0.148306
159,0.193329,11.224000,0.165916
160,0.088199,9.671565,0.199863
161,0.192429,11.064224,0.146916
162,0.135012,10.699501,0.132841
163,0.152537,11.040962,0.144989
164,0.137429,10.787271,0.117712
165,0.132051,11.513447,0.110340
166,0.095970,10.513930,0.145632
167,0.078356,9.095396,0.180352
168,0.155527,10.374863,0.157105
169,0.123912,10.851441,0.122252
170,0.148613,11.165613,0.086530
171,0.162678,10.773602,0.187329
172,0.130339,10.874447,0.173570
173,0.148985,10.964374,0.155765
174,0.163193,11.093503,0.163526
175,0.136316,10.959725,0.117887
176,0.192678,12.039844,0.129654
177,0.135766,10.604684,0.176251
178,0.138763,10.718452,0.125085
179,0.162605,10.963944,0.140229
180,0.089377,10.166061,0.139046
181,0.132203,10.671719,0.132833
182,0.164841,10.720583,0.175154
183,0.109221,11.042430,0.128938
184,0.148178,10.734482,0.128592
185,0.128346,10.594271,0.171239
186,0.107246,10.166565,0.166837
187,0.146542,10.920499,0.139236
188,0.175906,11.966839,0.142492
189,0.178440,11.462444,0.167642
190,0.146584,10.513911,0.199155
191,0.148985,10.774246,0.113504
192,0.143774,11.594002,0.164070
193,0.125422,10.488981,0.143258
194,0.115940,10.189647,0.160996
195,0.209948,11.820316,0.100050
196,0.151279,10.781610,0.150216
197,0.133202,10.471330,0.177006
198,0.122508,10.328633,0.168355
199,0.120393,10.846498,0.158273
200,0.175595,11.400543,0.127852
201,0.156324,10.866493,0.163069
202,0.134459,11.057940,0.144553
203,0.174827,11.884259,0.175166
204,0.071341,9.934669,0.108781
205,0.144735,10.673766,0.174728
206,0.142666,11.151968,0.159147
207,0.113947,10.472276,0.130992
208,0.206451,11.558405,0.104395
209,0.201349,11.560012,0.137382
210,0.101660,10.305517,0.171518
211,0.204261,12.087680,0.083993
212,0.171530,11.498471,0.146081
213,0.125120,11.384120,0.080792
214,0.141247,10.827739,0.126644
215,0.129731,11.042793,0.109830
216,0.203700,11.433213,0.110697
217,0.153142,10.904540,0.171959
218,0.116372,10.793403,0.126765
219,0.099614,10.624198,0.117745
220,0.160529,11.009869,0.132132
221,0.104151,10.882365,0.111029
222,0.115534,10.611461,0.165368
223,0.196843,11.722931,0.121209
224,0.115815,10.326213,0.145804
225,0.146614,11.013002,0.152400
226,0.179448,11.789262,0.096221
227,0.163835,11.114663,0.124541
228,0.164615,11.254736,0.164906
229,0.202258,12.250152,0.103151
230,0.125278,11.464572,0.167609
231,0.163403,11.882010,0.129102
232,0.161920,10.508246,0.138882
233,0.145398,11.227255,0.132341
234,0.152404,10.504767,0.165513
235,0.150175,10.740816,0.145969
236,0.152086,11.739961,0.164268
237,0.097045,9.539031,0.158966
238,0.157617,11.454846,0.145136
239,0.175941,11.322235,0.157946
240,0.185270,11.403681,0.096030
241,0.176155,11.436731,0.135456
242,0.108036,10.190013,0.157539
243,0.154862,10.992529,0.125097
244,0.178970,11.546001,0.146765
245,0.119611,10.737112,0.156530
246,0.118512,10.299600,0.136869
247,0.155857,10.431552,0.159528
248,0.221841,12.143933,0.109686
249,0.177823,11.582535,0.136983
250,0.136553,9.961707,0.188660
251,0.100756,10.249039,0.168575
252,0.118654,10.160891,0.144397
253,0.093877,9.642471,0.161301
254,0.162933,10.504267,0.124420
255,0.121766,10.925071,0.129199
256,0.109181,10.474996,0.150430
257,0.237402,12.498715,0.139592
258,0.095430,10.954302,0.117093
259,0.106087,10.963574,0.168235
260,0.136417,11.115748,0.182990
261,0.163901,11.270061,0.137678
262,0.110190,10.920777,0.163005
263,0.184776,11.321739,0.102935
264,0.107840,10.514151,0.176683
265,0.113593,10.839792,0.205641
266,0.223994,11.341902,0.127927
267,0.139384,10.566450,0.132602
268,0.174320,10.931844,0.159576
269,0.156816,11.071910,0.121492
270,0.165108,11.092637,0.150960
271,0.160171,10.761800,0.159249
272,0.189412,11.198461,0.146031
273,0.169225,11.030647,0.161079
274,0.160511,11.672198,0.144871
275,0.143022,11.016227,0.140702
276,0.202024,12.006456,0.103160
277,0.149328,11.029436,0.102955
278,0.102854,11.252023,0.134926
279,0.174260,10.732528,0.150913
280,0.220626,11.920445,0.102105
281,0.167524,11.122999,0.131334
282,0.164153,11.488478,0.136489
283,0.167098,11.300364,0.133329
284,0.118275,10.941344,0.138601
285,0.180348,10.633666,0.122847
286,0.052461,9.404880,0.153493
287,0.151156,11.361303,0.130211
288,0.145682,10.298618,0.171221
289,0.115618,10.322061,0.124413
290,0.123550,10.870106,0.151414
291,0.143440,10.173801,0.105547
292,0.125222,11.201688,0.138531
293,0.162822,11.268204,0.133258
294,0.132309,10.804165,0.121732
295,0.132306,11.429014,0.156487
296,0.134375,10.149278,0.155397
297,0.132791,10.577917,0.116409
298,0.093536,10.290277,0.144424
299,0.178458,11.998404,0.111231
300,0.167505,11.041138,0.156572
301,0.163671,11.179478,0.171096
302,0.107595,9.883460,0.140663
303,0.099005,10.015620,0.171201
304,0.102974,9.855155,0.157611
305,0.189996,12.230497,0.106202
306,0.163566,10.976582,0.110243
307,0.181751,10.928436,0.142796
308,0.162692,10.953229,0.158639
309,0.169491,11.570713,0.113284
310,0.179620,11.589167,0.131507
311,0.140919,10.825988,0.188778
312,0.183230,12.127168,0.094428
313,0.123858,10.994987,0.170933
314,0.142721,11.211625,0.143674
315,0.184510,12.001385,0.122120
316,0.145178,11.135352,0.129848
317,0.276950,13.038995,0.104600
318,0.168429,11.381695,0.165344
319,0.165075,11.768483,0.162237
320,0.169831,11.875923,0.107215
321,0.203421,11.463599,0.130495
322,0.141575,10.991565,0.177604
323,0.123141,10.028316,0.117773
324,0.172162,11.736100,0.137105
325,0.087977,9.636325,0.126526
326,0.224016,11.764344,0.092437
327,0.123516,10.993383,0.131357
328,0.118344,9.963414,0.128144
329,0.106793,10.556541,0.154345
330,0.161381,11.376834,0.168985
331,0.170681,10.865783,0.128975
332,0.090742,9.412035,0.183746
333,0.157224,11.032078,0.138384
334,0.202932,11.652520,0.144961
335,0.122564,11.090584,0.134405
336,0.116750,10.184695,0.116824
337,0.151249,11.027044,0.131748
338,0.179004,11.485870,0.117382
339,0.208278,12.271699,0.112899
340,0.063380,10.414171,0.211670
341,0.121963,9.848925,0.165691
342,0.124651,10.711584,0.097190
343,0.131700,10.686286,0.151941
344,0.171794,10.955971,0.148691
345,0.124508,10.352165,0.166643
346,0.213871,12.345195,0.108547
347,0.173567,10.498966,0.126769
348,0.184073,11.212570,0.143896
349,0.144554,11.130720,0.099932
350,0.166043,10.978551,0.146237
351,0.097112,10.314388,0.183673
352,0.120117,10.555400,0.167071
353,0.073126,10.077062,0.131606
354,0.097807,10.459841,0.165924
355,0.128100,11.157994,0.136317
356,0.190115,11.711310,0.092791
357,0.187308,11.466484,0.122484
358,0.113690,11.442645,0.105140
359,0.113508,10.855731,0.126732
360,0.118980,10.284874,0.145559
361,0.144479,10.919317,0.148206
362,0.125586,10.789081,0.141093
363,0.128959,10.931212,0.149049
364,0.127440,11.129996,0.146830
365,0.153625,10.371752,0.160616
366,0.161247,11.305791,0.148430
367,0.182170,10.928797,0.144516
368,0.104271,10.716613,0.143394
369,0.192638,12.536129,0.089431
370,0.131889,10.843119,0.142724
371,0.228632,11.365579,0.113286
372,0.154455,10.666019,0.183362
373,0.135807,10.456066,0.137851
374,0.162111,11.336905,0.094626
375,0.121365,10.508166,0.158379
376,0.125341,10.510169,0.142828
377,0.160116,11.595033,0.126171
378,0.113581,10.337426,0.125123
379,0.115229,10.504248,0.148116
380,0.189935,12.014072,0.103758
381,0.112295,10.557721,0.122534
382,0.170895,11.384011,0.147952
383,0.206934,12.176026,0.139003
384,0.161482,11.610211,0.121914
385,0.206535,12.063891,0.133089
386,0.172420,11.057353,0.130736
387,0.126293,11.602615,0.126102
388,0.098228,10.449311,0.152948
389,0.158889,11.223469,0.159377
390,0.142943,10.443554,0.124545
391,0.203745,11.818321,0.137548
392,0.116283,11.061783,0.166659
393,0.156207,10.402806,0.166781
394,0.078470,9.786056,0.171393
395,0.198358,12.159698,0.149662
396,0.154814,10.879329,0.147338
397,0.192894,11.446018,0.125080
398,0.125494,10.516314,0.138300
399,0.156816,11.710801,0.108372
400,0.138859,11.274683,0.126346
401,0.141518,11.625700,0.114483
402,0.126792,10.687476,0.131374
403,0.152276,11.586268,0.152267
404,0.097165,10.471216,0.142485
405,0.193200,12.953778,0.098667
406,0.127959,10.863259,0.144716
407,0.116867,10.551634,0.115958
408,0.185466,11.603599,0.127045
409,0.079171,9.681456,0.163009
410,0.132193,11.050518,0.130313
411,0.149093,10.952577,0.102396
412,0.206758,12.069108,0.124125
413,0.134261,11.297393,0.123887
414,0.180269,11.690099,0.160523
415,0.126252,10.437251,0.128324
416,0.138086,10.862499,0.141426
417,0.185412,11.720894,0.125905
418,0.155365,10.825276,0.160316
419,0.107679,10.236742,0.137960
420,0.125077,10.396603,0.150954
421,0.164977,10.922878,0.174461
422,0.179883,11.659608,0.124412
423,0.141030,11.167054,0.138364
424,0.103567,10.177243,0.153232
425,0.112359,10.629213,0.137580
426,0.146823,11.236772,0.131786
427,0.164610,11.110289,0.149333
428,0.138552,10.620248,0.148067
429,0.053684,10.100818,0.170758
430,0.083037,9.766808,0.160661
431,0.143684,11.101877,0.143077
432,0.154653,11.066293,0.114713
433,0.198283,11.525871,0.140573
434,0.157374,12.033190,0.130186
435,0.110216,10.618376,0.138432
436,0.208271,11.458285,0.137858
437,0.135436,10.862375,0.154508
438,0.109190,11.515730,0.117913
439,0.179943,12.243832,0.132303
440,0.143806,11.069782,0.134326
441,0.080600,10.475965,0.151639
442,0.164041,10.617470,0.114210
443,0.140397,10.666614,0.145603
444,0.209684,11.789600,0.119116
445,0.157372,10.576005,0.103137
446,0.193112,11.036499,0.116060
447,0.152824,11.034693,0.153666
448,0.114576,11.133010,0.106082
449,0.120153,10.477148,0.156643
450,0.098914,10.522172,0.142832
451,0.135065,10.667403,0.144941
452,0.125564,10.269157,0.171120
453,0.094928,10.986254,0.132995
454,0.146986,10.980298,0.123990
455,0.150637,11.430009,0.169874
456,0.078861,10.010687,0.144513
