sample_id,ssim,psnr,lpips
1,0.101981,9.776960,0.183881
2,0.195945,11.435586,0.107189
3,0.150616,11.589556,0.108435
4,0.165281,10.660476,0.139598
5,0.144511,10.940225,0.114712
6,0.168062,11.177222,0.133031
7,0.166171,11.671981,0.136981
8,0.108865,10.333708,0.167847
9,0.075052,9.423854,0.171280
10,0.135867,11.362497,0.147307
11,0.185811,11.672958,0.145729
12,0.081586,9.832245,0.175311
13,0.144464,11.937987,0.105531
14,0.200361,11.490405,0.136459
15,0.133043,10.535960,0.166662
16,0.098340,10.351430,0.156489
17,0.147573,11.595943,0.139376
18,0.201743,11.368691,0.150553
19,0.123572,10.742361,0.140659
20,0.155356,10.924871,0.140202
21,0.140154,11.001085,0.136964
22,0.066969,10.774359,0.107547
23,0.195706,12.026450,0.136100
24,0.153321,10.974960,0.118073
25,0.160289,11.123723,0.165985
26,0.151429,11.187577,0.128618
27,0.139429,11.234264,0.135659
28,0.096202,9.908956,0.176003
29,0.121280,10.931458,0.130278
30,0.101174,10.385052,0.154931
31,0.108569,9.948378,0.178578
32,0.164309,11.695918,0.169338
33,0.136478,10.891032,0.149942
34,0.130221,10.704918,0.109041
35,0.134422,11.092860,0.127375
36,0.115436,10.524849,0.149705
37,0.196632,11.362976,0.144877
38,0.088560,9.362723,0.131899
39,0.164911,10.502572,0.128518
40,0.140512,11.593554,0.119833
41,0.180602,10.777837,0.108374
42,0.148207,10.952362,0.112976
43,0.153438,11.526820,0.140804
44,0.151052,11.460961,0.160412
45,0.191815,11.720637,0.125620
46,0.102302,10.156326,0.174225
47,0.151419,11.219593,0.129461
48,0.096215,10.496591,0.138719
49,0.157811,11.134194,0.113069
50,0.107002,10.442826,0.153212
51,0.071080,9.727024,0.138975
52,0.101343,10.577240,0.135318
53,0.165549,11.627389,0.163612
54,0.149301,10.893164,0.161389
55,0.065429,10.404756,0.154335
56,0.198843,11.914355,0.122377
57,0.156863,11.285094,0.134386
58,0.204015,12.480584,0.114548
59,0.138568,11.328916,0.093232
60,0.129584,11.408532,0.138442
61,0.238414,11.887155,0.112249
62,0.167468,10.980894,0.124169
63,0.163709,11.659886,0.137634
64,0.086537,9.616832,0.210340
65,0.139029,10.245960,0.139952
66,0.061057,9.129632,0.158819
67,0.109434,10.534351,0.152792
68,0.092351,9.956100,0.142919
69,0.117976,10.796862,0.100615
70,0.135763,11.045362,0.141076
71,0.229267,12.535628,0.106918
72,0.146889,11.184193,0.168348
73,0.197027,11.912651,0.104387
74,0.110861,10.386399,0.120777
75,0.122144,10.361435,0.180583
76,0.208503,11.961661,0.117201
77,0.129041,10.283753,0.157680
78,0.146036,10.834652,0.169543
79,0.166166,11.758544,0.153931
80,0.270509,12.437754,0.088794
81,0.091098,9.730838,0.146743
82,0.132991,10.514318,0.136871
83,0.129236,11.107027,0.132314
84,0.113588,10.156667,0.090871
85,0.102179,10.662196,0.144899
86,0.130001,10.267411,0.128869
87,0.143479,10.769762,0.126038
88,0.189717,10.949876,0.152091
89,0.232233,11.891113,0.126174
90,0.143488,11.203844,0.137012
91,0.150055,11.243729,0.140469
92,0.087449,10.415939,0.143788
93,0.130434,10.466741,0.170244
94,0.126092,10.729499,0.174336
95,0.175639,11.562538,0.157402
96,0.126240,11.705100,0.129057
97,0.167411,11.238243,0.123071
98,0.108620,11.455590,0.159875
99,0.145898,10.898306,0.152727
100,0.162844,11.225214,0.153589
101,0.141550,10.249394,0.164801
102,0.142086,11.156399,0.172121
103,0.170094,11.223494,0.132382
104,0.119304,11.311492,0.127302
105,0.130351,10.788528,0.115641
106,0.182950,11.883997,0.137486
107,0.112226,10.001498,0.134948
108,0.162575,11.311914,0.150727
109,0.109246,11.081728,0.151773
110,0.229649,12.083154,0.136166
111,0.166786,11.932254,0.132162
112,0.149212,10.812230,0.124321
113,0.138800,11.278383,0.145104
114,0.189171,11.386152,0.112102
115,0.200868,11.783565,0.135285
116,0.143662,11.166588,0.155560
117,0.100897,10.025033,0.156293
118,0.122618,10.694107,0.142823
119,0.125032,10.646755,0.149619
120,0.224913,12.283708,0.099662
121,0.147647,11.044637,0.149758
122,0.121005,10.927141,0.132342
123,0.122406,10.890852,0.160576
124,0.119420,10.846747,0.145678
125,0.164217,11.569165,0.112705
126,0.120496,10.572254,0.139914
127,0.155734,10.734194,0.156152
128,0.149700,11.174519,0.142113
129,0.075972,10.418042,0.182682
130,0.130721,10.961007,0.168113
131,0.129124,10.790364,0.129202
132,0.165558,11.362669,0.095104
133,0.152154,10.262219,0.147951
134,0.159930,10.764226,0.162452
135,0.212883,11.763985,0.083443
136,0.126408,10.194168,0.130821
137,0.154988,11.604668,0.122268
138,0.193926,11.085922,0.122245
139,0.148999,11.311126,0.136604
140,0.106366,10.478650,0.172667
141,0.164256,11.151781,0.133769
142,0.161261,11.341590,0.115449
143,0.101238,10.514912,0.147098
144,0.155330,11.392004,0.130857
145,0.137427,10.247945,0.170998
146,0.130443,10.561665,0.143129
147,0.145438,10.742881,0.136598
148,0.204312,12.116695,0.145604
149,0.151614,11.107566,0.151740
150,0.133442,11.312964,0.128620
151,0.228142,11.908936,0.117863
152,0.103614,10.357538,0.159490
153,0.117070,10.811028,0.134427
154,0.186656,10.774392,0.168731
155,0.185577,11.227295,0.143046
156,0.138213,10.572903,0.182168
157,0.082998,9.655357,0.192617
158,0.168637,10.934274,0.145180
159,0.191231,11.201513,0.169894
160,0.087228,9.670793,0.197625
161,0.191232,11.063532,0.148401
162,0.135063,10.705201,0.131668
163,0.152117,11.036571,0.144042
164,0.137426,10.792349,0.117889
165,0.129868,11.508268,0.111619
166,0.095594,10.498086,0.143879
167,0.077873,9.092066,0.178918
168,0.150881,10.361257,0.156602
169,0.123167,10.861848,0.122106
170,0.149970,11.172892,0.089209
171,0.160886,10.769110,0.187496
172,0.129385,10.867762,0.171451
173,0.145906,10.957679,0.153964
174,0.162465,11.100506,0.162153
175,0.136178,10.961727,0.117424
176,0.192953,12.052597,0.129358
177,0.134811,10.607855,0.173818
178,0.138370,10.708751,0.123535
179,0.161793,10.947795,0.142449
180,0.088006,10.148891,0.137715
181,0.130543,10.666769,0.132081
182,0.162924,10.717785,0.172510
183,0.107405,11.034804,0.129266
184,0.147799,10.735978,0.132196
185,0.128376,10.608008,0.171343
186,0.106996,10.168216,0.163403
187,0.146714,10.920477,0.139062
188,0.174126,11.950517,0.142779
189,0.175408,11.431091,0.169157
190,0.146196,10.514628,0.195175
191,0.149125,10.780663,0.113934
192,0.142306,11.600753,0.164028
193,0.124259,10.478037,0.143600
194,0.115225,10.175967,0.161898
195,0.208688,11.828301,0.100418
196,0.149823,10.764815,0.150325
197,0.131821,10.466930,0.175683
198,0.121625,10.304058,0.168241
199,0.120012,10.855930,0.157310
200,0.176028,11.411397,0.128968
201,0.155811,10.864283,0.160717
202,0.133031,11.057279,0.143168
203,0.174325,11.878342,0.174580
204,0.070521,9.922972,0.110161
205,0.144639,10.681338,0.173829
206,0.142158,11.144468,0.158655
207,0.113506,10.474422,0.130834
208,0.205565,11.561558,0.104745
209,0.198877,11.536139,0.135845
210,0.100389,10.295100,0.171763
211,0.203674,12.085373,0.087629
212,0.170557,11.495844,0.147719
213,0.123907,11.392034,0.081370
214,0.139470,10.826009,0.124775
215,0.128160,11.024160,0.109785
216,0.202492,11.433406,0.110062
217,0.152857,10.897806,0.172583
218,0.113779,10.769325,0.125704
219,0.097271,10.601820,0.119483
220,0.159808,10.982724,0.130244
221,0.103520,10.880120,0.111466
222,0.113184,10.600688,0.166480
223,0.194594,11.725561,0.122343
224,0.115384,10.319527,0.143841
225,0.144821,10.990067,0.151623
226,0.178380,11.774297,0.099261
227,0.159652,11.086186,0.125180
228,0.162884,11.256743,0.164568
229,0.201832,12.262256,0.100851
230,0.125335,11.464382,0.167627
231,0.163636,11.867452,0.129976
232,0.162313,10.514460,0.138401
233,0.143241,11.224901,0.133899
234,0.151494,10.494573,0.166866
235,0.150428,10.746690,0.144575
236,0.151013,11.730547,0.162401
237,0.096216,9.534962,0.157958
238,0.155697,11.436164,0.146158
239,0.174001,11.307724,0.156549
240,0.185160,11.406525,0.095489
241,0.174276,11.411084,0.136149
242,0.106936,10.168297,0.156028
243,0.153969,10.985985,0.125001
244,0.175885,11.539978,0.146570
245,0.118955,10.736905,0.155631
246,0.118977,10.293354,0.137483
247,0.155175,10.413645,0.157975
248,0.221689,12.143721,0.109573
249,0.176269,11.591093,0.136067
250,0.133723,9.949268,0.188186
251,0.100921,10.245812,0.166749
252,0.118408,10.158636,0.144780
253,0.092512,9.621321,0.161711
254,0.161831,10.510151,0.124482
255,0.120522,10.916501,0.128473
256,0.108765,10.472916,0.150619
257,0.237132,12.503861,0.137826
258,0.093516,10.944620,0.117914
259,0.106491,10.974309,0.169962
260,0.134264,11.100295,0.180701
261,0.163743,11.263586,0.136990
262,0.110422,10.928783,0.161369
263,0.183765,11.317122,0.103826
264,0.107029,10.502973,0.175295
265,0.110798,10.834077,0.207011
266,0.222760,11.351438,0.127356
267,0.138925,10.563182,0.134287
268,0.171058,10.923645,0.158943
269,0.155231,11.061432,0.122710
270,0.166147,11.103413,0.151497
271,0.159513,10.757838,0.160113
272,0.187951,11.189298,0.146521
273,0.166892,11.006622,0.162937
274,0.159872,11.664290,0.143778
275,0.142806,11.030498,0.140506
276,0.200903,12.003429,0.103994
277,0.148175,11.020983,0.100573
278,0.102756,11.253769,0.135649
279,0.170525,10.719766,0.151775
280,0.219264,11.916053,0.101620
281,0.164505,11.106230,0.130168
282,0.164081,11.499747,0.135039
283,0.166052,11.300446,0.134831
284,0.117972,10.929611,0.140135
285,0.179265,10.629716,0.121563
286,0.051602,9.400607,0.151314
287,0.149687,11.339408,0.130885
288,0.143324,10.266748,0.171029
289,0.113329,10.307613,0.124204
290,0.123029,10.855316,0.149226
291,0.142925,10.178053,0.107834
292,0.124423,11.199195,0.138017
293,0.160746,11.249012,0.133816
294,0.131422,10.810321,0.122008
295,0.130232,11.421127,0.156641
296,0.133553,10.141842,0.154435
297,0.131666,10.571826,0.116671
298,0.093003,10.285148,0.144737
299,0.176860,12.002825,0.112050
300,0.164592,11.014857,0.158195
301,0.162512,11.170012,0.167856
302,0.105622,9.875950,0.141929
303,0.097898,10.015645,0.169677
304,0.105585,9.868165,0.154810
305,0.187841,12.231868,0.107979
306,0.161660,10.957299,0.110872
307,0.181829,10.915948,0.143724
308,0.159631,10.940800,0.159560
309,0.167698,11.559564,0.113772
310,0.177973,11.571895,0.132193
311,0.139699,10.827777,0.187732
312,0.183532,12.149691,0.094580
313,0.122494,10.989881,0.168095
314,0.141187,11.192004,0.144133
315,0.182950,11.998851,0.122729
316,0.145238,11.141379,0.128794
317,0.277216,13.063047,0.106213
318,0.166634,11.389848,0.166183
319,0.164647,11.751750,0.162127
320,0.168523,11.869150,0.108812
321,0.205480,11.473730,0.128530
322,0.138712,10.986162,0.174714
323,0.121838,10.020838,0.118832
324,0.171691,11.725622,0.137427
325,0.086881,9.630106,0.129897
326,0.222992,11.761053,0.091214
327,0.119942,10.976659,0.130363
328,0.117441,9.956714,0.128594
329,0.105446,10.549089,0.152973
330,0.160788,11.368401,0.166643
331,0.169867,10.870272,0.130688
332,0.089763,9.401392,0.181743
333,0.156607,11.026371,0.134566
334,0.202540,11.643824,0.144194
335,0.122548,11.096458,0.131414
336,0.115457,10.168361,0.123367
337,0.150022,11.008581,0.133205
338,0.178488,11.489953,0.117738
339,0.206541,12.268316,0.114232
340,0.063091,10.420411,0.210506
341,0.121210,9.840491,0.167521
342,0.123251,10.711086,0.096294
343,0.131075,10.682115,0.150997
344,0.170840,10.953125,0.149199
345,0.123352,10.344017,0.163877
346,0.211221,12.344764,0.109572
347,0.174158,10.512191,0.128908
348,0.182601,11.206695,0.144326
349,0.143874,11.120057,0.100815
350,0.164972,10.950199,0.147815
351,0.095079,10.314299,0.180335
352,0.117691,10.533046,0.169859
353,0.071892,10.057727,0.130730
354,0.096617,10.455081,0.167680
355,0.127281,11.156136,0.136331
356,0.187903,11.702952,0.093785
357,0.187585,11.482967,0.121799
358,0.112923,11.442054,0.106897
359,0.112557,10.863024,0.130078
360,0.118883,10.280141,0.144728
361,0.143712,10.916767,0.148825
362,0.123377,10.764427,0.139731
363,0.125854,10.914422,0.147032
364,0.126281,11.120665,0.146420
365,0.153303,10.373392,0.160793
366,0.156583,11.295204,0.150782
367,0.180520,10.920803,0.142526
