sample_id,ssim,psnr,lpips
1,0.589013,19.535660,0.031634
2,0.502367,17.722172,0.053090
3,0.552512,18.402942,0.029376
4,0.527244,18.252905,0.030331
5,0.389567,16.820340,0.033368
6,0.615112,18.906737,0.032817
7,0.396152,16.091089,0.051177
8,0.584870,19.544945,0.028136
9,0.264890,13.585283,0.064457
10,0.547840,19.038219,0.023727
11,0.699703,21.724206,0.024960
12,0.587935,18.595782,0.032357
13,0.476734,17.845870,0.031948
14,0.567893,18.705091,0.034778
15,0.504367,17.691033,0.044024
16,0.585195,18.791913,0.045857
17,0.527689,18.691924,0.023663
18,0.521890,18.766302,0.033393
19,0.549796,17.354890,0.046792
20,0.594279,19.781994,0.021702
21,0.472194,17.258434,0.035207
22,0.668457,20.748337,0.021853
23,0.508946,17.601714,0.026054
24,0.468133,16.485451,0.047518
25,0.586763,19.168598,0.030716
26,0.317248,15.156152,0.048285
27,0.578502,19.929075,0.025648
28,0.386049,15.205877,0.038147
29,0.603658,20.771223,0.025522
30,0.370874,15.535826,0.037259
31,0.441035,16.999295,0.042224
32,0.376953,17.038216,0.044019
33,0.548455,18.595821,0.023882
34,0.497436,17.549252,0.043539
35,0.504641,17.416723,0.026093
36,0.577921,18.523320,0.042510
37,0.534262,18.443829,0.045328
38,0.467248,16.527855,0.043128
39,0.473071,16.828425,0.047984
40,0.389005,16.238973,0.055277
41,0.488906,17.875084,0.028780
42,0.601889,19.421350,0.037430
43,0.460966,17.312672,0.034587
44,0.627179,19.880264,0.029955
45,0.613633,19.917623,0.031466
46,0.511773,18.046938,0.052929
47,0.643336,20.175668,0.028830
48,0.596105,19.657113,0.042586
49,0.513455,17.281496,0.047057
50,0.479978,17.272464,0.029052
51,0.579542,18.912921,0.038366
52,0.617189,19.860344,0.023179
53,0.470243,17.006739,0.039426
54,0.548088,17.862037,0.027718
55,0.541260,18.863393,0.035687
56,0.599053,19.664961,0.043002
57,0.567594,18.740448,0.023767
58,0.560360,19.583765,0.038676
59,0.274093,14.061848,0.064974
60,0.622217,20.149075,0.025541
61,0.567559,19.612469,0.032058
62,0.548658,18.519084,0.036417
63,0.484582,18.722704,0.034718
64,0.489127,17.037910,0.041839
65,0.496721,16.961193,0.050716
66,0.498241,17.373887,0.046284
67,0.507902,17.208278,0.044821
68,0.515126,17.915643,0.033987
69,0.302539,14.534431,0.064791
70,0.570137,18.186122,0.042542
71,0.517709,17.742289,0.032530
72,0.567361,19.007017,0.034447
73,0.532092,18.126170,0.036390
74,0.504864,17.668085,0.042226
75,0.623050,20.630249,0.024721
76,0.559429,17.990493,0.025326
77,0.493859,17.413525,0.039748
78,0.569595,18.097775,0.040921
79,0.600254,18.922811,0.032330
80,0.454943,17.139002,0.039352
81,0.441311,16.183894,0.049680
82,0.497049,18.191649,0.029949
83,0.568093,18.016031,0.027694
84,0.292027,14.211989,0.055840
85,0.487342,17.613609,0.031442
86,0.441283,16.920401,0.029601
87,0.500837,17.468146,0.042281
88,0.432016,16.250942,0.043859
89,0.522621,18.061532,0.037505
90,0.550626,18.502235,0.029981
91,0.496911,17.317131,0.042623
92,0.544046,18.350051,0.042312
93,0.548993,17.916853,0.032760
94,0.500958,17.398892,0.039009
95,0.619055,20.344491,0.040932
96,0.487745,18.863432,0.036922
97,0.584622,19.540939,0.027982
98,0.640603,20.304846,0.028364
99,0.525682,17.865838,0.031065
100,0.674715,21.392115,0.026073
101,0.573338,18.397007,0.034636
102,0.582601,18.826855,0.030055
103,0.414090,16.187605,0.054516
104,0.588164,19.967282,0.023864
105,0.385504,16.157488,0.047924
106,0.541695,19.198263,0.022188
107,0.598831,19.021564,0.024437
108,0.462677,17.627321,0.033647
109,0.465136,16.784717,0.033864
110,0.478108,17.639163,0.026419
111,0.575874,20.016047,0.028056
112,0.518408,18.554649,0.027497
113,0.617353,19.774180,0.022257
114,0.654903,19.468861,0.022172
115,0.442346,16.539292,0.030054
116,0.612664,18.564521,0.039152
117,0.571248,18.192219,0.025749
118,0.481383,16.751351,0.045271
119,0.420633,16.506078,0.036847
120,0.565222,19.045383,0.047881
121,0.416283,16.824383,0.044367
122,0.459678,16.362489,0.035675
123,0.532351,18.039705,0.041097
124,0.553923,19.273778,0.023994
125,0.542759,18.472488,0.055600
126,0.382553,15.456829,0.037111
127,0.457653,16.887057,0.053006
128,0.570278,18.624341,0.039489
129,0.530691,17.760652,0.029395
130,0.520309,18.351001,0.032643
131,0.485545,17.678820,0.034621
132,0.429040,16.626922,0.036899
133,0.503077,17.024880,0.040386
134,0.512903,18.044088,0.032280
135,0.508074,18.063827,0.044342
136,0.513354,17.348004,0.045075
137,0.586276,20.112464,0.032799
138,0.524394,18.141839,0.042572
139,0.541552,18.037114,0.027531
140,0.586452,20.182241,0.027224
141,0.477700,17.178511,0.033078
142,0.423321,16.720267,0.041218
143,0.602355,19.688649,0.028667
