sample_id,ssim,psnr,lpips
1,0.588438,19.244460,0.034259
2,0.531394,18.084224,0.050992
3,0.613040,19.312716,0.017931
4,0.567071,18.889331,0.026270
5,0.385589,16.518428,0.037087
6,0.637072,19.685449,0.020983
7,0.386699,16.117411,0.036269
8,0.613780,20.738456,0.019122
9,0.287768,13.508880,0.078159
10,0.637292,20.015872,0.024639
11,0.612040,21.111535,0.023048
12,0.553794,18.094791,0.026688
13,0.488058,17.627867,0.037143
14,0.515273,18.319189,0.022204
15,0.514039,17.928049,0.028738
16,0.583698,19.219945,0.033731
17,0.511970,18.365824,0.027940
18,0.624263,20.186403,0.018263
19,0.505740,17.334982,0.042296
20,0.574236,19.868702,0.024263
21,0.491213,17.663837,0.026970
22,0.650227,21.695261,0.019515
23,0.396077,16.666481,0.038261
24,0.478733,16.696049,0.056053
25,0.599927,19.632161,0.022769
26,0.324640,15.326388,0.039264
27,0.674035,21.802812,0.017239
28,0.423063,15.459053,0.040733
29,0.646614,21.612156,0.018882
30,0.416003,16.000795,0.034836
31,0.373551,15.995336,0.040404
32,0.329182,16.532509,0.050175
33,0.493937,18.116223,0.021939
34,0.438013,16.670128,0.039812
35,0.537811,17.879682,0.023278
36,0.479200,17.272582,0.038595
37,0.532146,18.245468,0.040150
38,0.416777,16.083642,0.054753
39,0.476027,16.655719,0.044541
40,0.340634,16.082450,0.056233
41,0.526064,18.433824,0.023995
42,0.635522,20.386421,0.031335
43,0.483326,17.722620,0.032707
44,0.523043,19.308873,0.020922
45,0.602370,19.955827,0.025260
46,0.559558,19.070729,0.035370
47,0.629076,20.592585,0.037668
48,0.540574,18.747138,0.055863
49,0.550072,17.710472,0.046026
50,0.521145,18.142820,0.025624
51,0.585263,18.784093,0.044323
52,0.572733,19.594977,0.031045
53,0.479892,17.345935,0.030094
54,0.564783,18.373788,0.026245
55,0.534859,18.553551,0.043245
56,0.627896,20.373647,0.044375
57,0.688654,21.585853,0.025030
58,0.626081,20.299893,0.034682
59,0.294480,13.994406,0.067442
60,0.676526,21.504395,0.015757
61,0.565970,19.377069,0.021133
62,0.613789,19.178485,0.023176
63,0.491765,18.410462,0.036214
64,0.451679,16.545763,0.043288
65,0.537588,17.454344,0.041700
66,0.531444,17.948629,0.041019
67,0.581012,18.426119,0.027889
68,0.365512,16.093596,0.043911
69,0.280814,14.211898,0.066929
70,0.507868,17.822786,0.035279
71,0.560351,18.826937,0.020163
72,0.644308,21.065679,0.020946
73,0.539624,18.133274,0.036747
74,0.488817,17.884292,0.038154
75,0.641382,21.483549,0.016768
76,0.405325,15.988030,0.035275
77,0.524754,17.725754,0.025100
78,0.513627,17.543297,0.035127
79,0.605934,19.026834,0.023646
80,0.430248,16.756646,0.051617
81,0.467227,16.437604,0.048314
82,0.507406,18.337654,0.024832
83,0.505426,17.620619,0.034164
84,0.309691,14.345590,0.050535
85,0.502223,17.859197,0.019885
86,0.467684,17.602200,0.027764
87,0.524916,17.614174,0.029285
88,0.425307,16.077798,0.034751
89,0.549861,18.829446,0.028518
90,0.463601,17.357374,0.028460
91,0.480171,16.967224,0.037856
92,0.608694,19.457174,0.021723
93,0.541329,18.427685,0.039533
94,0.435779,16.890704,0.028980
95,0.666238,21.635229,0.026280
96,0.565424,19.749931,0.032453
97,0.625982,20.466533,0.021959
98,0.625749,20.470429,0.021586
99,0.489687,17.819075,0.024316
100,0.679131,21.825724,0.017579
101,0.547921,18.442821,0.033202
102,0.504020,17.611613,0.029839
103,0.375752,15.910725,0.055041
104,0.582159,19.698386,0.021443
105,0.346417,15.701350,0.048108
106,0.579942,20.382748,0.022452
107,0.512986,17.905609,0.026978
108,0.716989,21.827053,0.030292
109,0.358330,15.775391,0.039081
110,0.530439,18.229073,0.030522
111,0.600572,19.874199,0.026798
112,0.581451,19.888905,0.025459
113,0.674416,20.871545,0.027746
114,0.524010,18.681596,0.023305
115,0.432213,16.333781,0.025796
116,0.592445,19.123778,0.041084
117,0.501224,17.941354,0.023446
118,0.522292,17.587655,0.035539
119,0.357356,15.672127,0.037534
120,0.580575,19.217803,0.048255
121,0.439275,17.043576,0.027310
122,0.391759,15.885250,0.043452
123,0.560967,18.650768,0.024871
124,0.559575,19.391126,0.026604
125,0.571478,19.239811,0.047530
126,0.373664,15.568696,0.034352
127,0.497020,17.487125,0.033172
128,0.638539,20.128146,0.023284
129,0.477054,17.864878,0.029382
130,0.573567,19.096913,0.025260
131,0.477734,17.817719,0.027776
132,0.365119,15.942438,0.046419
133,0.515853,17.804944,0.028703
134,0.533891,18.581318,0.024493
135,0.446525,17.359002,0.040111
136,0.420241,16.864403,0.035605
137,0.492208,18.662254,0.032393
138,0.569645,18.731368,0.037109
139,0.619738,19.681603,0.022131
140,0.588068,19.552665,0.026590
141,0.558614,18.816495,0.022414
142,0.318089,15.470680,0.045666
143,0.572761,19.668608,0.030750
144,0.683164,20.923324,0.026905
145,0.494247,17.377047,0.043953
146,0.320399,14.672014,0.051712
147,0.354995,15.201873,0.046911
148,0.611929,20.575714,0.028846
149,0.528464,18.418708,0.035745
150,0.588386,20.274248,0.029590
151,0.430868,17.305356,0.033284
152,0.532339,18.035032,0.036711
153,0.627021,20.231678,0.031645
154,0.515827,17.228896,0.059234
155,0.573266,18.485719,0.022590
156,0.488772,17.279220,0.044985
157,0.538562,17.955635,0.040592
158,0.539492,18.681717,0.023865
159,0.463286,16.630980,0.042838
160,0.409704,16.096101,0.047842
161,0.565787,18.636476,0.020707
162,0.454408,16.793296,0.037765
163,0.531745,17.933200,0.027126
164,0.582909,18.914494,0.026405
165,0.535546,18.749737,0.025685
166,0.533453,18.687911,0.021685
167,0.511502,16.868365,0.053653
168,0.588336,18.566851,0.036155
169,0.533290,18.389533,0.061342
170,0.429595,16.916892,0.053106
171,0.363643,14.752758,0.042865
172,0.398876,16.945109,0.043084
173,0.500093,17.662077,0.026893
174,0.587538,19.542919,0.033306
175,0.400505,16.326782,0.031846
176,0.624270,19.435699,0.023787
177,0.285653,13.368940,0.050013
178,0.467578,17.067331,0.048032
179,0.515798,17.635575,0.037131
180,0.511684,18.508176,0.032200
181,0.434698,15.972273,0.067057
182,0.616347,20.597495,0.031368
183,0.628233,20.347180,0.027922
184,0.194186,13.121938,0.060728
185,0.509506,16.331087,0.040609
186,0.517367,17.571953,0.030448
187,0.716731,22.159626,0.016862
188,0.614720,19.819722,0.022807
189,0.557848,19.426089,0.042455
190,0.517931,17.842850,0.036512
191,0.396597,16.039828,0.049742
192,0.604091,19.959614,0.035547
193,0.513717,18.063118,0.023450
194,0.534341,18.347281,0.034291
195,0.550740,18.331873,0.024650
196,0.375586,16.240190,0.039566
197,0.567743,18.717083,0.036403
198,0.383298,15.616782,0.031947
199,0.633835,20.330054,0.025763
200,0.618746,19.430366,0.034333
201,0.566789,18.540869,0.023724
202,0.373713,16.442145,0.042294
203,0.552289,18.787013,0.046803
204,0.203692,12.713032,0.057285
205,0.627219,19.240212,0.034662
206,0.640580,19.790887,0.037055
207,0.501886,17.522607,0.051375
208,0.613740,19.161141,0.033212
209,0.377818,15.544364,0.042658
210,0.505324,17.695524,0.034669
211,0.385395,15.814561,0.041791
212,0.387354,15.650598,0.031607
213,0.509228,18.204849,0.077160
214,0.522270,18.315991,0.031232
215,0.241906,14.094303,0.056081
216,0.421693,16.878901,0.033647
217,0.459078,16.403495,0.035827
218,0.431206,17.679603,0.038929
