sample_id,ssim,psnr,lpips
1,0.532890,18.323744,0.043163
2,0.550451,18.609774,0.029560
3,0.502261,17.947248,0.025741
4,0.589239,19.049062,0.022474
5,0.466062,16.814200,0.038430
6,0.627411,19.363866,0.024895
7,0.386014,16.210938,0.041483
8,0.643935,20.489649,0.031341
9,0.309209,14.291487,0.067706
10,0.624830,19.912638,0.025604
11,0.657134,20.902632,0.021335
12,0.509894,17.514195,0.030501
13,0.472752,17.726933,0.033276
14,0.614705,19.296683,0.024733
15,0.548148,18.342180,0.029655
16,0.611042,19.170498,0.036082
17,0.495761,18.480174,0.026942
18,0.549084,19.281281,0.036887
19,0.511515,17.061601,0.041982
20,0.592206,19.748310,0.023649
21,0.468474,17.267299,0.044399
22,0.529089,19.172309,0.031691
23,0.513072,18.353373,0.027671
24,0.402748,15.966074,0.056973
25,0.559159,19.114449,0.036382
26,0.396304,16.208389,0.029964
27,0.641685,20.988601,0.025912
28,0.400625,15.020727,0.049276
29,0.492468,18.602495,0.025515
30,0.382309,15.672058,0.037221
31,0.374353,16.238197,0.039814
32,0.344485,16.197712,0.047029
33,0.573678,19.009809,0.022210
34,0.438494,16.999143,0.038472
35,0.504583,17.324621,0.036953
36,0.510730,17.841575,0.032741
37,0.550896,18.933573,0.032749
38,0.428069,16.020014,0.042178
39,0.427998,15.755965,0.053683
40,0.382172,16.083472,0.056962
41,0.555066,18.408493,0.025665
42,0.578752,19.296222,0.040099
43,0.458846,17.400832,0.033536
44,0.569849,19.698479,0.031693
45,0.626231,20.424361,0.020018
46,0.534896,18.304624,0.049266
47,0.611664,20.032456,0.024458
48,0.523403,18.012439,0.046601
49,0.571822,17.726381,0.045337
50,0.481850,17.245655,0.029489
51,0.532884,18.857893,0.055855
52,0.618502,19.723836,0.020166
53,0.614981,18.994880,0.029532
54,0.515675,17.758549,0.027785
55,0.573230,19.379307,0.046956
56,0.622189,19.796442,0.051360
57,0.615371,20.000674,0.025075
58,0.605551,20.389262,0.027355
59,0.259278,13.645334,0.068789
60,0.620882,20.041536,0.028487
61,0.577743,19.217973,0.022176
62,0.589128,18.753967,0.027850
