sample_id,ssim,psnr,lpips
1,0.528281,18.293230,0.042251
2,0.545593,18.582228,0.029141
3,0.497868,17.892724,0.024643
4,0.585200,19.022961,0.022238
5,0.462124,16.799322,0.037404
6,0.625047,19.390460,0.025458
7,0.382414,16.183596,0.041560
8,0.640488,20.544693,0.031750
9,0.305456,14.235617,0.068676
10,0.626200,19.945161,0.025563
11,0.661109,20.983015,0.020593
12,0.508547,17.520590,0.030845
13,0.474417,17.737968,0.033765
14,0.611965,19.317907,0.023329
15,0.540973,18.283802,0.028642
16,0.607151,19.156030,0.037026
17,0.497957,18.520890,0.026753
18,0.555215,19.351361,0.036393
19,0.509360,17.063515,0.041060
20,0.597854,19.884908,0.024526
21,0.463799,17.226595,0.045240
22,0.533174,19.267077,0.032308
23,0.504517,18.322592,0.027716
24,0.403696,15.978106,0.059552
25,0.554702,19.145434,0.036462
26,0.392121,16.170787,0.030498
27,0.645955,21.046205,0.026390
28,0.396753,14.967742,0.049551
29,0.499804,18.694931,0.025627
30,0.379596,15.638185,0.037763
31,0.369905,16.198362,0.039863
32,0.338486,16.159687,0.047926
33,0.565552,18.994776,0.022905
34,0.433545,16.949981,0.037499
35,0.501752,17.301359,0.036966
36,0.506346,17.806307,0.032841
37,0.546490,18.910814,0.032855
38,0.424856,15.985381,0.044905
39,0.427935,15.772572,0.053574
40,0.378084,16.051074,0.058531
41,0.551518,18.362975,0.026096
42,0.585400,19.386352,0.039309
43,0.458435,17.427185,0.033822
44,0.565413,19.652523,0.030878
45,0.626144,20.432631,0.019835
46,0.540815,18.437421,0.048544
47,0.609925,20.049121,0.025890
48,0.527549,18.131890,0.045877
49,0.569077,17.746232,0.045157
50,0.475669,17.193083,0.029596
51,0.529949,18.812380,0.054097
52,0.615350,19.726603,0.021017
53,0.607459,18.932690,0.031040
54,0.512651,17.737863,0.027595
55,0.578336,19.478564,0.046267
56,0.620746,19.823615,0.053244
57,0.617980,20.094715,0.024392
58,0.610125,20.451035,0.027750
59,0.255110,13.628133,0.069550
60,0.626667,20.134383,0.028880
61,0.579530,19.262901,0.021973
62,0.588304,18.781522,0.028805
63,0.521132,18.785763,0.037744
64,0.382800,15.751537,0.042343
65,0.497430,16.749644,0.056076
66,0.510324,17.694129,0.044955
67,0.571228,18.103559,0.036106
68,0.365851,15.678165,0.051820
69,0.334267,14.876603,0.055156
70,0.525822,18.047957,0.028346
71,0.520973,18.534463,0.023905
72,0.577387,19.948305,0.026769
